year,viv_type,mean,sd,realized
2015,tavi_in_savr,71.55,7.366174469545878,69.55
2015,tavi_in_tavi,1.625,0.7440238091428449,1.625
2016,tavi_in_savr,98.95,8.611345026062695,96.95
2016,tavi_in_tavi,1.5714285714285714,0.7559289460184544,1.5714285714285714
2017,tavi_in_savr,133.15,7.328926107878073,129.15
2017,tavi_in_tavi,1.7058823529411764,1.046703508780838,1.7058823529411764
2018,tavi_in_savr,171.8,15.098274561579613,169.8
2018,tavi_in_tavi,3.2941176470588234,1.6494205756247002,3.2941176470588234
2019,tavi_in_savr,217.9,10.482566981723314,214.9
2019,tavi_in_tavi,3.35,1.268027892769755,3.35
2020,tavi_in_savr,271.05,15.32619017444184,263.05
2020,tavi_in_tavi,5.05,3.1535276821529985,5.05
2021,tavi_in_savr,317.25,12.169309974816064,309.25
2021,tavi_in_tavi,7.55,2.4809802816416613,7.55
2022,tavi_in_savr,365.3,13.917425654269008,358.3
2022,tavi_in_tavi,9.55,2.3725402775129134,9.55
2023,tavi_in_savr,437.35,19.20875622703026,427.35
2023,tavi_in_tavi,16.75,4.540751155109866,16.75
2024,tavi_in_savr,465.6,24.64569995589067,465.6
2024,tavi_in_tavi,23.15,4.522167621838006,23.15
2025,tavi_in_savr,497.05,17.963339860598545,497.05
2025,tavi_in_tavi,40.25,6.306846739018929,40.25
2026,tavi_in_savr,530.15,21.184092840470733,530.15
2026,tavi_in_tavi,56.05,7.472581460526912,56.05
2027,tavi_in_savr,550.25,22.929812816276378,550.25
2027,tavi_in_tavi,76.15,8.54261761929408,76.15
2028,tavi_in_savr,559.4,21.953059971340323,559.4
2028,tavi_in_tavi,102.7,10.2807945627809,102.7
2029,tavi_in_savr,546.4,22.570124641122195,546.4
2029,tavi_in_tavi,132.25,12.69427968976993,132.25
2030,tavi_in_savr,528.35,19.524006814823203,528.35
2030,tavi_in_tavi,169.05,12.275242520918619,169.05
2031,tavi_in_savr,504.95,27.980209171183077,504.95
2031,tavi_in_tavi,218.8,10.349675814907638,218.8
2032,tavi_in_savr,474.95,23.365460338758677,474.95
2032,tavi_in_tavi,261.05,15.581618725448998,261.05
2033,tavi_in_savr,444.75,24.283143384487495,444.75
2033,tavi_in_tavi,315.25,18.461553221991398,315.25
2034,tavi_in_savr,409.5,18.650525602865937,409.5
2034,tavi_in_tavi,374.4,19.869044953606103,374.4
2035,tavi_in_savr,372.15,18.227437386649022,372.15
2035,tavi_in_tavi,436.25,13.599051824532326,436.25
