year,proc,index_cnt,deaths,failures,viable,run
2015,savr,1840.0,58.35,124.1,123.8,9.5
2015,tavi,93.0,5.45,6.85,6.7,9.5
2016,savr,2179.0,123.6,176.8,175.0,9.5
2016,tavi,197.0,10.2,10.35,9.65,9.5
2017,savr,1949.0,211.45,233.15,228.1,9.5
2017,tavi,248.0,18.55,17.45,16.5,9.5
2018,savr,2169.0,325.35,314.25,303.75,9.5
2018,tavi,345.0,32.75,26.95,24.7,9.5
2019,savr,2118.0,470.75,403.7,380.35,9.5
2019,tavi,436.0,53.3,41.15,37.15,9.5
2020,savr,2195.0,597.0,502.55,464.7,9.5
2020,tavi,459.0,79.35,63.2,55.95,9.5
2021,savr,2321.0,719.5,624.55,553.45,9.5
2021,tavi,563.0,121.65,86.75,74.5,9.5
2022,savr,2023.0,848.65,737.65,633.85,9.5
2022,tavi,551.0,166.6,112.25,91.6,9.5
2023,savr,2620.0,949.65,890.0,738.15,9.5
2023,tavi,1083.0,226.1,145.25,116.2,9.5
2024,savr,2000.0,1050.0,968.95,765.5,9.5
2024,tavi,1034.0,294.4,181.75,137.9,9.5
2025,savr,2000.0,1134.7,1069.0,806.25,9.5
2025,tavi,1173.0,359.65,246.15,180.65,9.5
2026,savr,2000.0,1214.55,1175.2,837.25,9.5
2026,tavi,1311.0,431.9,309.7,222.5,9.5
2027,savr,2000.0,1275.75,1263.6,860.05,9.5
2027,tavi,1450.0,481.25,385.65,267.6,9.5
2028,savr,2000.0,1347.8,1306.35,830.4,9.5
2028,tavi,1589.0,516.3,467.55,309.25,9.5
2029,savr,2000.0,1447.35,1374.95,813.35,9.5
2029,tavi,1727.0,587.95,544.75,361.8,9.5
2030,savr,2000.0,1566.0,1405.3,767.3,9.5
2030,tavi,1866.0,672.75,652.9,427.3,9.5
2031,savr,2000.0,1674.05,1406.2,713.1,9.5
2031,tavi,2004.0,776.9,764.0,488.15,9.5
2032,savr,2000.0,1848.75,1410.35,655.1,9.5
2032,tavi,2143.0,919.1,873.05,545.7,9.5
2033,savr,2000.0,1993.9,1401.05,604.15,9.5
2033,tavi,2282.0,1079.35,993.65,611.15,9.5
2034,savr,2000.0,2151.25,1391.45,539.25,9.5
2034,tavi,2420.0,1243.4,1119.15,673.25,9.5
2035,savr,2000.0,2272.6,1374.95,484.5,9.5
2035,tavi,2559.0,1427.05,1242.55,736.6,9.5
