sex,age_band,year,count,src
Women,10-14,2012,1,observed
Women,20-24,2012,1,observed
Women,30-34,2012,2,observed
Women,35-39,2012,1,observed
Women,40-44,2012,5,observed
Women,45-49,2012,6,observed
Women,50-54,2012,4,observed
Women,55-59,2012,3,observed
Women,60-64,2012,8,observed
Women,65-69,2012,15,observed
Women,70-74,2012,5,observed
Women,75-79,2012,4,observed
Women,>=80,2012,1,observed
Women,10-14,2013,1,observed
Women,15-19,2013,1,observed
Women,30-34,2013,1,observed
Women,35-39,2013,4,observed
Women,40-44,2013,6,observed
Women,45-49,2013,6,observed
Women,50-54,2013,6,observed
Women,55-59,2013,5,observed
Women,60-64,2013,9,observed
Women,65-69,2013,8,observed
Women,70-74,2013,4,observed
Women,75-79,2013,7,observed
Women,>=80,2013,2,observed
Women,30-34,2014,1,observed
Women,40-44,2014,4,observed
Women,45-49,2014,2,observed
Women,50-54,2014,6,observed
Women,55-59,2014,2,observed
Women,60-64,2014,9,observed
Women,65-69,2014,8,observed
Women,70-74,2014,8,observed
Women,75-79,2014,5,observed
Women,>=80,2014,1,observed
Men,60-64,2015,1,observed
Men,65-69,2015,2,observed
Men,70-74,2015,4,observed
Men,75-79,2015,15,observed
Men,>=80,2015,13,observed
Women,30-34,2015,1,observed
Women,35-39,2015,2,observed
Women,40-44,2015,2,observed
Women,45-49,2015,6,observed
Women,50-54,2015,9,observed
Women,55-59,2015,8,observed
Women,60-64,2015,7,observed
Women,65-69,2015,9,observed
Women,70-74,2015,8,observed
Women,75-79,2015,4,observed
Women,>=80,2015,2,observed
Men,55-59,2016,3,observed
Men,60-64,2016,3,observed
Men,65-69,2016,3,observed
Men,70-74,2016,24,observed
Men,75-79,2016,40,observed
Men,>=80,2016,52,observed
Women,20-24,2016,1,observed
Women,25-29,2016,2,observed
Women,30-34,2016,3,observed
Women,40-44,2016,7,observed
Women,45-49,2016,3,observed
Women,50-54,2016,5,observed
Women,55-59,2016,5,observed
Women,60-64,2016,13,observed
Women,65-69,2016,16,observed
Women,70-74,2016,11,observed
Women,75-79,2016,4,observed
Women,>=80,2016,2,observed
Men,60-64,2017,3,observed
Men,65-69,2017,7,observed
Men,70-74,2017,22,observed
Men,75-79,2017,63,observed
Men,>=80,2017,68,observed
Women,15-19,2017,2,observed
Women,25-29,2017,1,observed
Women,30-34,2017,2,observed
Women,40-44,2017,2,observed
Women,45-49,2017,10,observed
Women,50-54,2017,8,observed
Women,55-59,2017,9,observed
Women,60-64,2017,13,observed
Women,65-69,2017,11,observed
Women,70-74,2017,16,observed
Women,75-79,2017,7,observed
Women,>=80,2017,4,observed
Men,50-54,2018,2,observed
Men,55-59,2018,2,observed
Men,60-64,2018,2,observed
Men,65-69,2018,12,observed
Men,70-74,2018,31,observed
Men,75-79,2018,89,observed
Men,>=80,2018,133,observed
Women,35-39,2018,2,observed
Women,40-44,2018,2,observed
Women,45-49,2018,4,observed
Women,50-54,2018,9,observed
Women,55-59,2018,9,observed
Women,60-64,2018,9,observed
Women,65-69,2018,14,observed
Women,70-74,2018,11,observed
Women,75-79,2018,12,observed
Women,>=80,2018,2,observed
Men,55-59,2019,1,observed
Men,60-64,2019,5,observed
Men,65-69,2019,10,observed
Men,70-74,2019,45,observed
Men,75-79,2019,89,observed
Men,>=80,2019,197,observed
Women,25-29,2019,1,observed
Women,30-34,2019,3,observed
Women,35-39,2019,1,observed
Women,40-44,2019,2,observed
Women,45-49,2019,7,observed
Women,50-54,2019,5,observed
Women,55-59,2019,10,observed
Women,60-64,2019,11,observed
Women,65-69,2019,23,observed
Women,70-74,2019,9,observed
Women,75-79,2019,14,observed
Women,>=80,2019,3,observed
Men,55-59,2020,2,observed
Men,60-64,2020,4,observed
Men,65-69,2020,9,observed
Men,70-74,2020,25,observed
Men,75-79,2020,97,observed
Men,>=80,2020,214,observed
Women,10-14,2020,1,observed
