year,viv_type,mean,sd
2015,tavi_in_savr,74.4,8.274246666297593
2015,tavi_in_tavi,1.1666666666666667,0.38924947208076155
2016,tavi_in_savr,106.1,7.524696182011535
2016,tavi_in_tavi,1.75,1.0552897060221726
2017,tavi_in_savr,134.1,13.182524317004734
2017,tavi_in_tavi,1.875,0.806225774829855
2018,tavi_in_savr,187.1,13.246250710851612
2018,tavi_in_tavi,2.8,1.7350868323485926
2019,tavi_in_savr,230.25,15.66382019680686
2019,tavi_in_tavi,4.05,2.3502519461807316
2020,tavi_in_savr,278.3,17.387533344021914
2020,tavi_in_tavi,4.75,2.022895267471328
2021,tavi_in_savr,341.15,19.497030813083203
2021,tavi_in_tavi,7.3,2.811629982393618
2022,tavi_in_savr,381.85,15.692019426581478
2022,tavi_in_tavi,10.05,2.723677854048011
2023,tavi_in_savr,454.55,20.392142449586068
2023,tavi_in_tavi,17.6,4.405737885506748
2024,tavi_in_savr,474.4,20.989721795503435
2024,tavi_in_tavi,24.95,5.26632799266394
2025,tavi_in_savr,527.15,21.935971419229723
2025,tavi_in_tavi,36.05,6.621138397904891
2026,tavi_in_savr,548.9,19.248786701340016
2026,tavi_in_tavi,57.75,9.491686112759835
2027,tavi_in_savr,576.85,25.033188496789414
2027,tavi_in_tavi,71.8,8.709341627180976
2028,tavi_in_savr,577.55,24.69492809635636
2028,tavi_in_tavi,99.95,8.780810416980163
2029,tavi_in_savr,574.75,17.489470516495583
2029,tavi_in_tavi,121.8,11.523888232710346
2030,tavi_in_savr,564.05,23.569549936528826
2030,tavi_in_tavi,150.9,11.355035979919357
2031,tavi_in_savr,524.45,20.65372401746167
2031,tavi_in_tavi,195.85,13.65081451203939
2032,tavi_in_savr,490.1,20.41645363297378
2032,tavi_in_tavi,237.0,13.396778874435688
2033,tavi_in_savr,463.0,22.391257692515445
2033,tavi_in_tavi,283.5,15.635654262311082
2034,tavi_in_savr,429.5,21.996411190536474
2034,tavi_in_tavi,333.6,18.869078018365336
2035,tavi_in_savr,384.35,13.546314317147207
2035,tavi_in_tavi,378.7,19.293031193453736
