year,proc,index_cnt,deaths,failures,viable,run
2015,savr,1840.0,59.55,119.25,118.6,9.5
2015,tavi,93.0,4.3,6.0,5.95,9.5
2016,savr,2179.0,124.45,172.45,171.25,9.5
2016,tavi,197.0,10.05,9.3,9.05,9.5
2017,savr,1949.0,203.8,245.2,240.65,9.5
2017,tavi,248.0,19.3,15.5,14.65,9.5
2018,savr,2169.0,327.25,310.05,298.05,9.5
2018,tavi,345.0,32.4,26.25,24.65,9.5
2019,savr,2118.0,461.95,397.25,375.0,9.5
2019,tavi,436.0,50.1,43.7,39.45,9.5
2020,savr,2195.0,597.0,498.85,457.9,9.5
2020,tavi,459.0,79.7,60.7,54.05,9.5
2021,savr,2321.0,724.15,623.35,554.0,9.5
2021,tavi,563.0,123.0,82.0,70.3,9.5
2022,savr,2023.0,850.0,756.05,648.85,9.5
2022,tavi,551.0,167.55,112.05,93.2,9.5
2023,savr,2620.0,961.1,872.45,725.6,9.5
2023,tavi,1083.0,220.8,141.35,111.55,9.5
2024,savr,2000.0,1050.7,1007.75,812.6,9.5
2024,tavi,1034.0,289.15,192.65,148.9,9.5
2025,savr,2000.0,1138.25,1065.4,797.35,9.5
2025,tavi,1173.0,363.7,242.9,181.25,9.5
2026,savr,2000.0,1200.6,1169.3,839.5,9.5
2026,tavi,1311.0,437.7,305.1,217.4,9.5
2027,savr,2000.0,1277.15,1260.85,847.9,9.5
2027,tavi,1450.0,477.9,382.75,263.0,9.5
2028,savr,2000.0,1344.95,1319.1,831.65,9.5
2028,tavi,1589.0,522.1,465.15,311.9,9.5
2029,savr,2000.0,1435.8,1373.05,809.2,9.5
2029,tavi,1727.0,581.4,556.7,366.0,9.5
2030,savr,2000.0,1563.55,1404.55,779.75,9.5
2030,tavi,1866.0,663.45,650.1,426.45,9.5
2031,savr,2000.0,1685.1,1416.65,719.85,9.5
2031,tavi,2004.0,783.6,758.05,480.75,9.5
2032,savr,2000.0,1841.9,1408.0,658.5,9.5
2032,tavi,2143.0,922.9,870.0,542.5,9.5
2033,savr,2000.0,2011.5,1403.85,601.4,9.5
2033,tavi,2282.0,1085.2,992.75,613.45,9.5
2034,savr,2000.0,2148.65,1389.6,538.2,9.5
2034,tavi,2420.0,1262.75,1120.95,683.2,9.5
2035,savr,2000.0,2267.5,1381.7,488.85,9.5
2035,tavi,2559.0,1412.55,1264.45,741.75,9.5
