run,year,viv_type,count
0,2015,tavi_in_savr,122
0,2015,tavi_in_tavi,8
0,2016,tavi_in_savr,164
0,2016,tavi_in_tavi,9
0,2017,tavi_in_savr,218
0,2017,tavi_in_tavi,15
0,2018,tavi_in_savr,323
0,2018,tavi_in_tavi,29
0,2019,tavi_in_savr,349
0,2019,tavi_in_tavi,39
0,2020,tavi_in_savr,479
0,2020,tavi_in_tavi,66
0,2021,tavi_in_savr,536
0,2021,tavi_in_tavi,71
0,2022,tavi_in_savr,621
0,2022,tavi_in_tavi,85
0,2023,tavi_in_savr,685
0,2023,tavi_in_tavi,105
0,2024,tavi_in_savr,827
0,2024,tavi_in_tavi,158
0,2025,tavi_in_savr,830
0,2025,tavi_in_tavi,192
0,2026,tavi_in_savr,877
0,2026,tavi_in_tavi,212
0,2027,tavi_in_savr,891
0,2027,tavi_in_tavi,261
0,2028,tavi_in_savr,825
0,2028,tavi_in_tavi,289
0,2029,tavi_in_savr,781
0,2029,tavi_in_tavi,375
0,2030,tavi_in_savr,772
0,2030,tavi_in_tavi,433
0,2031,tavi_in_savr,684
0,2031,tavi_in_tavi,473
0,2032,tavi_in_savr,682
0,2032,tavi_in_tavi,557
0,2033,tavi_in_savr,604
0,2033,tavi_in_tavi,600
0,2034,tavi_in_savr,539
0,2034,tavi_in_tavi,679
0,2035,tavi_in_savr,473
0,2035,tavi_in_tavi,739
1,2015,tavi_in_savr,115
1,2015,tavi_in_tavi,7
1,2016,tavi_in_savr,177
1,2016,tavi_in_tavi,9
1,2017,tavi_in_savr,251
1,2017,tavi_in_tavi,17
1,2018,tavi_in_savr,303
1,2018,tavi_in_tavi,23
1,2019,tavi_in_savr,372
1,2019,tavi_in_tavi,43
1,2020,tavi_in_savr,441
1,2020,tavi_in_tavi,60
1,2021,tavi_in_savr,573
1,2021,tavi_in_tavi,72
1,2022,tavi_in_savr,634
1,2022,tavi_in_tavi,94
1,2023,tavi_in_savr,728
1,2023,tavi_in_tavi,108
1,2024,tavi_in_savr,807
1,2024,tavi_in_tavi,145
1,2025,tavi_in_savr,804
1,2025,tavi_in_tavi,199
1,2026,tavi_in_savr,829
1,2026,tavi_in_tavi,243
1,2027,tavi_in_savr,867
1,2027,tavi_in_tavi,234
1,2028,tavi_in_savr,812
1,2028,tavi_in_tavi,313
1,2029,tavi_in_savr,784
1,2029,tavi_in_tavi,357
1,2030,tavi_in_savr,748
1,2030,tavi_in_tavi,407
1,2031,tavi_in_savr,720
1,2031,tavi_in_tavi,461
1,2032,tavi_in_savr,612
1,2032,tavi_in_tavi,532
1,2033,tavi_in_savr,614
1,2033,tavi_in_tavi,575
1,2034,tavi_in_savr,532
1,2034,tavi_in_tavi,714
1,2035,tavi_in_savr,476
1,2035,tavi_in_tavi,737
2,2015,tavi_in_savr,111
2,2015,tavi_in_tavi,11
2,2016,tavi_in_savr,172
2,2016,tavi_in_tavi,3
2,2017,tavi_in_savr,261
2,2017,tavi_in_tavi,27
2,2018,tavi_in_savr,313
2,2018,tavi_in_tavi,20
2,2019,tavi_in_savr,343
2,2019,tavi_in_tavi,38
2,2020,tavi_in_savr,471
2,2020,tavi_in_tavi,54
2,2021,tavi_in_savr,536
2,2021,tavi_in_tavi,70
2,2022,tavi_in_savr,643
2,2022,tavi_in_tavi,96
2,2023,tavi_in_savr,717
2,2023,tavi_in_tavi,122
2,2024,tavi_in_savr,812
2,2024,tavi_in_tavi,134
2,2025,tavi_in_savr,772
2,2025,tavi_in_tavi,179
2,2026,tavi_in_savr,784
2,2026,tavi_in_tavi,225
2,2027,tavi_in_savr,869
2,2027,tavi_in_tavi,256
2,2028,tavi_in_savr,837
2,2028,tavi_in_tavi,298
2,2029,tavi_in_savr,796
2,2029,tavi_in_tavi,365
2,2030,tavi_in_savr,821
2,2030,tavi_in_tavi,419
2,2031,tavi_in_savr,732
2,2031,tavi_in_tavi,498
2,2032,tavi_in_savr,624
2,2032,tavi_in_tavi,500
2,2033,tavi_in_savr,617
2,2033,tavi_in_tavi,590
2,2034,tavi_in_savr,531
2,2034,tavi_in_tavi,668
2,2035,tavi_in_savr,529
2,2035,tavi_in_tavi,751
3,2015,tavi_in_savr,109
3,2015,tavi_in_tavi,6
3,2016,tavi_in_savr,180
3,2016,tavi_in_tavi,7
3,2017,tavi_in_savr,217
3,2017,tavi_in_tavi,14
3,2018,tavi_in_savr,313
3,2018,tavi_in_tavi,24
3,2019,tavi_in_savr,339
3,2019,tavi_in_tavi,44
3,2020,tavi_in_savr,455
3,2020,tavi_in_tavi,56
3,2021,tavi_in_savr,568
3,2021,tavi_in_tavi,60
3,2022,tavi_in_savr,642
3,2022,tavi_in_tavi,77
3,2023,tavi_in_savr,765
3,2023,tavi_in_tavi,119
3,2024,tavi_in_savr,806
3,2024,tavi_in_tavi,161
3,2025,tavi_in_savr,786
3,2025,tavi_in_tavi,161
3,2026,tavi_in_savr,864
3,2026,tavi_in_tavi,191
3,2027,tavi_in_savr,825
3,2027,tavi_in_tavi,255
3,2028,tavi_in_savr,865
3,2028,tavi_in_tavi,312
3,2029,tavi_in_savr,842
3,2029,tavi_in_tavi,367
3,2030,tavi_in_savr,788
3,2030,tavi_in_tavi,428
3,2031,tavi_in_savr,726
3,2031,tavi_in_tavi,471
3,2032,tavi_in_savr,621
3,2032,tavi_in_tavi,551
3,2033,tavi_in_savr,557
3,2033,tavi_in_tavi,617
3,2034,tavi_in_savr,573
3,2034,tavi_in_tavi,666
3,2035,tavi_in_savr,491
3,2035,tavi_in_tavi,740
4,2015,tavi_in_savr,112
4,2015,tavi_in_tavi,6
4,2016,tavi_in_savr,158
4,2016,tavi_in_tavi,10
4,2017,tavi_in_savr,221
4,2017,tavi_in_tavi,11
4,2018,tavi_in_savr,320
4,2018,tavi_in_tavi,20
4,2019,tavi_in_savr,380
4,2019,tavi_in_tavi,38
4,2020,tavi_in_savr,441
4,2020,tavi_in_tavi,56
4,2021,tavi_in_savr,562
4,2021,tavi_in_tavi,73
4,2022,tavi_in_savr,671
4,2022,tavi_in_tavi,99
4,2023,tavi_in_savr,718
4,2023,tavi_in_tavi,107
4,2024,tavi_in_savr,792
4,2024,tavi_in_tavi,147
4,2025,tavi_in_savr,795
4,2025,tavi_in_tavi,216
4,2026,tavi_in_savr,830
4,2026,tavi_in_tavi,205
4,2027,tavi_in_savr,890
4,2027,tavi_in_tavi,283
4,2028,tavi_in_savr,827
4,2028,tavi_in_tavi,312
4,2029,tavi_in_savr,815
4,2029,tavi_in_tavi,357
4,2030,tavi_in_savr,828
4,2030,tavi_in_tavi,426
4,2031,tavi_in_savr,696
4,2031,tavi_in_tavi,484
4,2032,tavi_in_savr,663
4,2032,tavi_in_tavi,538
4,2033,tavi_in_savr,619
4,2033,tavi_in_tavi,671
4,2034,tavi_in_savr,534
4,2034,tavi_in_tavi,686
4,2035,tavi_in_savr,488
4,2035,tavi_in_tavi,736
5,2015,tavi_in_savr,114
5,2015,tavi_in_tavi,4
5,2016,tavi_in_savr,174
5,2016,tavi_in_tavi,10
5,2017,tavi_in_savr,247
5,2017,tavi_in_tavi,21
5,2018,tavi_in_savr,278
5,2018,tavi_in_tavi,21
5,2019,tavi_in_savr,360
5,2019,tavi_in_tavi,49
5,2020,tavi_in_savr,457
5,2020,tavi_in_tavi,59
5,2021,tavi_in_savr,550
5,2021,tavi_in_tavi,82
5,2022,tavi_in_savr,644
5,2022,tavi_in_tavi,90
5,2023,tavi_in_savr,773
5,2023,tavi_in_tavi,110
5,2024,tavi_in_savr,787
5,2024,tavi_in_tavi,174
5,2025,tavi_in_savr,816
5,2025,tavi_in_tavi,165
5,2026,tavi_in_savr,819
5,2026,tavi_in_tavi,231
5,2027,tavi_in_savr,843
5,2027,tavi_in_tavi,272
5,2028,tavi_in_savr,816
5,2028,tavi_in_tavi,308
5,2029,tavi_in_savr,793
5,2029,tavi_in_tavi,360
5,2030,tavi_in_savr,719
5,2030,tavi_in_tavi,440
5,2031,tavi_in_savr,706
5,2031,tavi_in_tavi,486
5,2032,tavi_in_savr,673
5,2032,tavi_in_tavi,519
5,2033,tavi_in_savr,561
5,2033,tavi_in_tavi,623
5,2034,tavi_in_savr,537
5,2034,tavi_in_tavi,712
5,2035,tavi_in_savr,498
5,2035,tavi_in_tavi,761
6,2015,tavi_in_savr,127
6,2015,tavi_in_tavi,2
6,2016,tavi_in_savr,162
6,2016,tavi_in_tavi,11
6,2017,tavi_in_savr,261
6,2017,tavi_in_tavi,20
6,2018,tavi_in_savr,288
6,2018,tavi_in_tavi,27
6,2019,tavi_in_savr,408
6,2019,tavi_in_tavi,47
6,2020,tavi_in_savr,432
6,2020,tavi_in_tavi,63
6,2021,tavi_in_savr,534
6,2021,tavi_in_tavi,56
6,2022,tavi_in_savr,638
6,2022,tavi_in_tavi,90
6,2023,tavi_in_savr,749
6,2023,tavi_in_tavi,113
6,2024,tavi_in_savr,820
6,2024,tavi_in_tavi,135
6,2025,tavi_in_savr,787
6,2025,tavi_in_tavi,165
6,2026,tavi_in_savr,833
6,2026,tavi_in_tavi,219
6,2027,tavi_in_savr,852
6,2027,tavi_in_tavi,266
6,2028,tavi_in_savr,855
6,2028,tavi_in_tavi,308
6,2029,tavi_in_savr,793
6,2029,tavi_in_tavi,368
6,2030,tavi_in_savr,777
6,2030,tavi_in_tavi,420
6,2031,tavi_in_savr,727
6,2031,tavi_in_tavi,472
6,2032,tavi_in_savr,668
6,2032,tavi_in_tavi,547
6,2033,tavi_in_savr,666
6,2033,tavi_in_tavi,626
6,2034,tavi_in_savr,534
6,2034,tavi_in_tavi,761
6,2035,tavi_in_savr,489
6,2035,tavi_in_tavi,707
7,2015,tavi_in_savr,114
7,2015,tavi_in_tavi,5
7,2016,tavi_in_savr,167
7,2016,tavi_in_tavi,6
7,2017,tavi_in_savr,247
7,2017,tavi_in_tavi,8
7,2018,tavi_in_savr,285
7,2018,tavi_in_tavi,26
7,2019,tavi_in_savr,400
7,2019,tavi_in_tavi,32
7,2020,tavi_in_savr,438
7,2020,tavi_in_tavi,55
7,2021,tavi_in_savr,566
7,2021,tavi_in_tavi,64
7,2022,tavi_in_savr,660
7,2022,tavi_in_tavi,91
7,2023,tavi_in_savr,756
7,2023,tavi_in_tavi,110
7,2024,tavi_in_savr,790
7,2024,tavi_in_tavi,151
7,2025,tavi_in_savr,789
7,2025,tavi_in_tavi,177
7,2026,tavi_in_savr,862
7,2026,tavi_in_tavi,222
7,2027,tavi_in_savr,853
7,2027,tavi_in_tavi,276
7,2028,tavi_in_savr,856
7,2028,tavi_in_tavi,289
7,2029,tavi_in_savr,833
7,2029,tavi_in_tavi,313
7,2030,tavi_in_savr,796
7,2030,tavi_in_tavi,426
7,2031,tavi_in_savr,695
7,2031,tavi_in_tavi,493
7,2032,tavi_in_savr,697
7,2032,tavi_in_tavi,546
7,2033,tavi_in_savr,624
7,2033,tavi_in_tavi,630
7,2034,tavi_in_savr,517
7,2034,tavi_in_tavi,666
7,2035,tavi_in_savr,474
7,2035,tavi_in_tavi,713
8,2015,tavi_in_savr,132
8,2015,tavi_in_tavi,6
8,2016,tavi_in_savr,186
8,2016,tavi_in_tavi,10
8,2017,tavi_in_savr,222
8,2017,tavi_in_tavi,21
8,2018,tavi_in_savr,249
8,2018,tavi_in_tavi,35
8,2019,tavi_in_savr,398
8,2019,tavi_in_tavi,36
8,2020,tavi_in_savr,476
8,2020,tavi_in_tavi,43
8,2021,tavi_in_savr,583
8,2021,tavi_in_tavi,60
8,2022,tavi_in_savr,705
8,2022,tavi_in_tavi,96
8,2023,tavi_in_savr,687
8,2023,tavi_in_tavi,100
8,2024,tavi_in_savr,818
8,2024,tavi_in_tavi,148
8,2025,tavi_in_savr,760
8,2025,tavi_in_tavi,202
8,2026,tavi_in_savr,834
8,2026,tavi_in_tavi,233
8,2027,tavi_in_savr,829
8,2027,tavi_in_tavi,249
8,2028,tavi_in_savr,818
8,2028,tavi_in_tavi,296
8,2029,tavi_in_savr,799
8,2029,tavi_in_tavi,382
8,2030,tavi_in_savr,776
8,2030,tavi_in_tavi,409
8,2031,tavi_in_savr,738
8,2031,tavi_in_tavi,459
8,2032,tavi_in_savr,682
8,2032,tavi_in_tavi,529
8,2033,tavi_in_savr,604
8,2033,tavi_in_tavi,591
8,2034,tavi_in_savr,545
8,2034,tavi_in_tavi,652
8,2035,tavi_in_savr,494
8,2035,tavi_in_tavi,738
9,2015,tavi_in_savr,115
9,2015,tavi_in_tavi,12
9,2016,tavi_in_savr,171
9,2016,tavi_in_tavi,10
9,2017,tavi_in_savr,252
9,2017,tavi_in_tavi,14
9,2018,tavi_in_savr,303
9,2018,tavi_in_tavi,23
9,2019,tavi_in_savr,353
9,2019,tavi_in_tavi,45
9,2020,tavi_in_savr,464
9,2020,tavi_in_tavi,47
9,2021,tavi_in_savr,533
9,2021,tavi_in_tavi,70
9,2022,tavi_in_savr,600
9,2022,tavi_in_tavi,94
9,2023,tavi_in_savr,730
9,2023,tavi_in_tavi,118
9,2024,tavi_in_savr,798
9,2024,tavi_in_tavi,143
9,2025,tavi_in_savr,808
9,2025,tavi_in_tavi,166
9,2026,tavi_in_savr,824
9,2026,tavi_in_tavi,208
9,2027,tavi_in_savr,821
9,2027,tavi_in_tavi,256
9,2028,tavi_in_savr,838
9,2028,tavi_in_tavi,318
9,2029,tavi_in_savr,864
9,2029,tavi_in_tavi,374
9,2030,tavi_in_savr,793
9,2030,tavi_in_tavi,423
9,2031,tavi_in_savr,684
9,2031,tavi_in_tavi,475
9,2032,tavi_in_savr,669
9,2032,tavi_in_tavi,579
9,2033,tavi_in_savr,586
9,2033,tavi_in_tavi,654
9,2034,tavi_in_savr,593
9,2034,tavi_in_tavi,676
9,2035,tavi_in_savr,471
9,2035,tavi_in_tavi,772
10,2015,tavi_in_savr,132
10,2015,tavi_in_tavi,9
10,2016,tavi_in_savr,160
10,2016,tavi_in_tavi,4
10,2017,tavi_in_savr,236
10,2017,tavi_in_tavi,19
10,2018,tavi_in_savr,300
10,2018,tavi_in_tavi,20
10,2019,tavi_in_savr,366
10,2019,tavi_in_tavi,42
10,2020,tavi_in_savr,474
10,2020,tavi_in_tavi,59
10,2021,tavi_in_savr,561
10,2021,tavi_in_tavi,58
10,2022,tavi_in_savr,639
10,2022,tavi_in_tavi,111
10,2023,tavi_in_savr,750
10,2023,tavi_in_tavi,117
10,2024,tavi_in_savr,824
10,2024,tavi_in_tavi,142
10,2025,tavi_in_savr,783
10,2025,tavi_in_tavi,193
10,2026,tavi_in_savr,801
10,2026,tavi_in_tavi,203
10,2027,tavi_in_savr,822
10,2027,tavi_in_tavi,309
10,2028,tavi_in_savr,819
10,2028,tavi_in_tavi,301
10,2029,tavi_in_savr,831
10,2029,tavi_in_tavi,355
10,2030,tavi_in_savr,805
10,2030,tavi_in_tavi,427
10,2031,tavi_in_savr,716
10,2031,tavi_in_tavi,482
10,2032,tavi_in_savr,689
10,2032,tavi_in_tavi,572
10,2033,tavi_in_savr,586
10,2033,tavi_in_tavi,623
10,2034,tavi_in_savr,553
10,2034,tavi_in_tavi,707
10,2035,tavi_in_savr,484
10,2035,tavi_in_tavi,747
11,2015,tavi_in_savr,123
11,2015,tavi_in_tavi,4
11,2016,tavi_in_savr,159
11,2016,tavi_in_tavi,10
11,2017,tavi_in_savr,237
11,2017,tavi_in_tavi,13
11,2018,tavi_in_savr,321
11,2018,tavi_in_tavi,21
11,2019,tavi_in_savr,345
11,2019,tavi_in_tavi,32
11,2020,tavi_in_savr,470
11,2020,tavi_in_tavi,58
11,2021,tavi_in_savr,602
11,2021,tavi_in_tavi,74
11,2022,tavi_in_savr,646
11,2022,tavi_in_tavi,77
11,2023,tavi_in_savr,730
11,2023,tavi_in_tavi,117
11,2024,tavi_in_savr,824
11,2024,tavi_in_tavi,143
11,2025,tavi_in_savr,819
11,2025,tavi_in_tavi,167
11,2026,tavi_in_savr,856
11,2026,tavi_in_tavi,220
11,2027,tavi_in_savr,852
11,2027,tavi_in_tavi,267
11,2028,tavi_in_savr,839
11,2028,tavi_in_tavi,298
11,2029,tavi_in_savr,780
11,2029,tavi_in_tavi,345
11,2030,tavi_in_savr,745
11,2030,tavi_in_tavi,442
11,2031,tavi_in_savr,697
11,2031,tavi_in_tavi,482
11,2032,tavi_in_savr,626
11,2032,tavi_in_tavi,531
11,2033,tavi_in_savr,579
11,2033,tavi_in_tavi,600
11,2034,tavi_in_savr,553
11,2034,tavi_in_tavi,693
11,2035,tavi_in_savr,517
11,2035,tavi_in_tavi,762
12,2015,tavi_in_savr,123
