run,year,viv_type,count
0,2015,tavi_in_savr,75
0,2015,tavi_in_tavi,1
0,2016,tavi_in_savr,85
0,2016,tavi_in_tavi,1
0,2017,tavi_in_savr,139
0,2017,tavi_in_tavi,1
0,2018,tavi_in_savr,187
0,2018,tavi_in_tavi,4
0,2019,tavi_in_savr,209
0,2019,tavi_in_tavi,5
0,2020,tavi_in_savr,287
0,2020,tavi_in_tavi,4
0,2021,tavi_in_savr,324
0,2021,tavi_in_tavi,4
0,2022,tavi_in_savr,372
0,2022,tavi_in_tavi,9
0,2023,tavi_in_savr,400
0,2023,tavi_in_tavi,19
0,2024,tavi_in_savr,482
0,2024,tavi_in_tavi,29
0,2025,tavi_in_savr,506
0,2025,tavi_in_tavi,54
0,2026,tavi_in_savr,553
0,2026,tavi_in_tavi,54
0,2027,tavi_in_savr,579
0,2027,tavi_in_tavi,73
0,2028,tavi_in_savr,527
0,2028,tavi_in_tavi,96
0,2029,tavi_in_savr,531
0,2029,tavi_in_tavi,135
0,2030,tavi_in_savr,515
0,2030,tavi_in_tavi,173
0,2031,tavi_in_savr,492
0,2031,tavi_in_tavi,215
0,2032,tavi_in_savr,504
0,2032,tavi_in_tavi,267
0,2033,tavi_in_savr,436
0,2033,tavi_in_tavi,319
0,2034,tavi_in_savr,407
0,2034,tavi_in_tavi,372
0,2035,tavi_in_savr,366
0,2035,tavi_in_tavi,438
1,2015,tavi_in_savr,72
1,2016,tavi_in_savr,101
1,2017,tavi_in_savr,170
1,2017,tavi_in_tavi,2
1,2018,tavi_in_savr,177
1,2018,tavi_in_tavi,3
1,2019,tavi_in_savr,207
1,2019,tavi_in_tavi,8
1,2020,tavi_in_savr,266
1,2020,tavi_in_tavi,4
1,2021,tavi_in_savr,327
1,2021,tavi_in_tavi,7
1,2022,tavi_in_savr,371
1,2022,tavi_in_tavi,8
1,2023,tavi_in_savr,434
1,2023,tavi_in_tavi,12
1,2024,tavi_in_savr,485
1,2024,tavi_in_tavi,26
1,2025,tavi_in_savr,505
1,2025,tavi_in_tavi,42
1,2026,tavi_in_savr,564
1,2026,tavi_in_tavi,54
1,2027,tavi_in_savr,543
1,2027,tavi_in_tavi,66
1,2028,tavi_in_savr,549
1,2028,tavi_in_tavi,104
1,2029,tavi_in_savr,521
1,2029,tavi_in_tavi,119
1,2030,tavi_in_savr,506
1,2030,tavi_in_tavi,170
1,2031,tavi_in_savr,519
1,2031,tavi_in_tavi,223
1,2032,tavi_in_savr,446
1,2032,tavi_in_tavi,253
1,2033,tavi_in_savr,460
1,2033,tavi_in_tavi,292
1,2034,tavi_in_savr,412
1,2034,tavi_in_tavi,408
1,2035,tavi_in_savr,381
1,2035,tavi_in_tavi,430
2,2015,tavi_in_savr,61
2,2015,tavi_in_tavi,3
2,2016,tavi_in_savr,82
2,2017,tavi_in_savr,155
2,2017,tavi_in_tavi,4
2,2018,tavi_in_savr,192
2,2018,tavi_in_tavi,3
2,2019,tavi_in_savr,187
2,2019,tavi_in_tavi,4
2,2020,tavi_in_savr,266
2,2020,tavi_in_tavi,4
2,2021,tavi_in_savr,293
2,2021,tavi_in_tavi,7
2,2022,tavi_in_savr,379
2,2022,tavi_in_tavi,12
2,2023,tavi_in_savr,431
2,2023,tavi_in_tavi,22
2,2024,tavi_in_savr,483
2,2024,tavi_in_tavi,22
2,2025,tavi_in_savr,470
2,2025,tavi_in_tavi,35
2,2026,tavi_in_savr,471
2,2026,tavi_in_tavi,45
2,2027,tavi_in_savr,584
2,2027,tavi_in_tavi,68
2,2028,tavi_in_savr,564
2,2028,tavi_in_tavi,103
2,2029,tavi_in_savr,558
2,2029,tavi_in_tavi,118
2,2030,tavi_in_savr,559
2,2030,tavi_in_tavi,175
2,2031,tavi_in_savr,525
2,2031,tavi_in_tavi,217
2,2032,tavi_in_savr,461
2,2032,tavi_in_tavi,241
2,2033,tavi_in_savr,456
2,2033,tavi_in_tavi,304
2,2034,tavi_in_savr,376
2,2034,tavi_in_tavi,365
2,2035,tavi_in_savr,407
2,2035,tavi_in_tavi,443
3,2015,tavi_in_savr,61
3,2016,tavi_in_savr,106
3,2017,tavi_in_savr,121
3,2017,tavi_in_tavi,3
3,2018,tavi_in_savr,197
3,2018,tavi_in_tavi,5
3,2019,tavi_in_savr,204
