year,viv_type,mean,sd
2015,tavi_in_savr,10.781818181818181,12.657686183113018
2015,tavi_in_tavi,1.2934782608695652,0.5249394204349799
2016,tavi_in_savr,14.03688524590164,18.075364408189255
2016,tavi_in_tavi,1.4365079365079365,0.88990814578613
2017,tavi_in_savr,18.093984962406015,23.951732152743247
2017,tavi_in_tavi,1.4948979591836735,0.9309352836555225
2018,tavi_in_savr,21.442446043165468,28.861462890932252
2018,tavi_in_tavi,1.8327137546468402,1.1020200565648965
2019,tavi_in_savr,25.0,36.71903628117246
2019,tavi_in_tavi,2.3836858006042294,1.4357680906297137
2020,tavi_in_savr,30.224422442244226,44.83497109798751
2020,tavi_in_tavi,3.071022727272727,2.1885641859591867
2021,tavi_in_savr,34.95268138801262,53.91637600919243
2021,tavi_in_tavi,3.8206521739130435,2.9621421677582624
2022,tavi_in_savr,40.68025078369906,63.8024019574059
2022,tavi_in_tavi,4.854166666666667,4.094138117817139
2023,tavi_in_savr,45.20872274143302,71.90395102966184
2023,tavi_in_tavi,5.691326530612245,4.720757479154435
2024,tavi_in_savr,49.09969788519638,79.88532898966643
2024,tavi_in_tavi,7.635897435897436,6.578045872132568
2025,tavi_in_savr,49.371517027863774,80.75058252115056
2025,tavi_in_tavi,9.39119170984456,8.80052094854329
2026,tavi_in_savr,50.725075528700906,85.19578133447247
2026,tavi_in_tavi,11.352480417754569,13.149504314867146
2027,tavi_in_savr,52.82866043613707,87.5449808727631
2027,tavi_in_tavi,14.490358126721762,21.7786907518764
2028,tavi_in_savr,52.803174603174604,85.22061659642291
2028,tavi_in_tavi,18.081159420289854,33.44101573719852
2029,tavi_in_savr,51.70607028753994,84.5982390263937
2029,tavi_in_tavi,23.164556962025316,45.34150637242387
2030,tavi_in_savr,51.983333333333334,82.5217295122596
2030,tavi_in_tavi,28.43,58.55939242744558
2031,tavi_in_savr,51.60215053763441,76.48230243191303
2031,tavi_in_tavi,34.339285714285715,70.32537711349035
2032,tavi_in_savr,52.055335968379445,70.7479660736428
2032,tavi_in_tavi,47.17391304347826,90.906714589996
2033,tavi_in_savr,57.00473933649289,64.99864450090891
2033,tavi_in_tavi,65.6096256684492,116.08572339295463
2034,tavi_in_savr,55.48453608247423,58.900040624221646
2034,tavi_in_tavi,81.82035928143712,137.3739643783594
2035,tavi_in_savr,58.544910179640716,53.82241063523883
2035,tavi_in_tavi,98.24503311258277,157.15796583426996
