year,viv_type,mean,sd
2015,tavi_in_savr,69.0,4.973614591548399
2015,tavi_in_tavi,1.25,0.7071067811865476
2016,tavi_in_savr,99.8,12.420695802189433
2016,tavi_in_tavi,1.7,1.2516655570345725
2017,tavi_in_savr,141.25,13.058068689309948
2017,tavi_in_tavi,2.0625,1.0626225419530053
2018,tavi_in_savr,177.05,11.878662869992874
2018,tavi_in_tavi,3.0,1.2909944487358056
2019,tavi_in_savr,216.45,15.408388009543103
2019,tavi_in_tavi,4.4,1.7888543819998317
2020,tavi_in_savr,261.4,14.441898111142859
2020,tavi_in_tavi,5.8,2.067289096988207
2021,tavi_in_savr,315.0,14.941993103155177
2021,tavi_in_tavi,6.6,2.1618705350983247
2022,tavi_in_savr,371.9,20.24299748971039
2022,tavi_in_tavi,9.1,2.425739171122029
2023,tavi_in_savr,426.45,22.269816722238758
2023,tavi_in_tavi,15.15,3.7735227154756217
2024,tavi_in_savr,494.45,18.64198713148698
2024,tavi_in_tavi,26.45,5.735163926441675
2025,tavi_in_savr,491.95,12.638600022404209
2025,tavi_in_tavi,37.65,6.57967364412232
2026,tavi_in_savr,531.9,24.90381496879544
2026,tavi_in_tavi,53.7,6.959280059558492
2027,tavi_in_savr,551.45,22.742205142352454
2027,tavi_in_tavi,75.95,7.148610464904868
2028,tavi_in_savr,549.7,19.981833855042606
2028,tavi_in_tavi,103.4,9.75704873412037
2029,tavi_in_savr,552.55,18.488901364986788
2029,tavi_in_tavi,133.15,12.766217755838005
2030,tavi_in_savr,537.5,23.345235059857504
2030,tavi_in_tavi,171.3,10.853570840972106
2031,tavi_in_savr,510.7,17.038964633729172
2031,tavi_in_tavi,215.8,14.288751556823698
2032,tavi_in_savr,481.4,19.677398201998148
2032,tavi_in_tavi,260.2,14.69908697486809
2033,tavi_in_savr,446.4,28.77206247295053
2033,tavi_in_tavi,319.25,18.12202788698997
2034,tavi_in_savr,406.2,19.75001665555594
2034,tavi_in_tavi,377.6,21.142125571574173
2035,tavi_in_savr,373.15,15.239405292996524
2035,tavi_in_tavi,439.55,15.716149923599374
