year,viv_type,mean,sd
2015,tavi_in_savr,112.45,7.735597823323712
2015,tavi_in_tavi,5.9,2.918182563460383
2016,tavi_in_savr,167.75,9.601946074679478
2016,tavi_in_tavi,8.5,2.350811729908136
2017,tavi_in_savr,237.4,16.70612872098456
2017,tavi_in_tavi,15.85,4.319783132958119
2018,tavi_in_savr,299.75,16.231467164609285
2018,tavi_in_tavi,22.95,4.248529157249601
2019,tavi_in_savr,379.1,20.10210777112951
2019,tavi_in_tavi,35.0,5.3606755269520985
2020,tavi_in_savr,466.95,16.02128518400968
2020,tavi_in_tavi,53.3,5.6391488719486755
2021,tavi_in_savr,556.25,25.080659355053065
2021,tavi_in_tavi,71.35,7.407499755759625
2022,tavi_in_savr,654.7,24.677072248077607
2022,tavi_in_tavi,93.3,8.072696021319741
2023,tavi_in_savr,715.25,24.430082835889465
2023,tavi_in_tavi,115.0,8.693615322086723
2024,tavi_in_savr,817.55,37.80904236040006
2024,tavi_in_tavi,143.35,11.244998888394793
2025,tavi_in_savr,799.4,28.013906321118817
2025,tavi_in_tavi,182.1,15.860908582191364
2026,tavi_in_savr,824.9,29.05512003072782
2026,tavi_in_tavi,221.3,13.518408501782034
2027,tavi_in_savr,852.35,27.513202572391926
2027,tavi_in_tavi,274.1,20.565428322922507
2028,tavi_in_savr,852.75,22.916036673956196
2028,tavi_in_tavi,312.05,13.605242797500795
2029,tavi_in_savr,802.1,30.659247767748777
2029,tavi_in_tavi,371.0,21.28750560156924
2030,tavi_in_savr,765.0,28.2414402495415
2030,tavi_in_tavi,425.45,21.65391662640176
2031,tavi_in_savr,714.25,22.470741209989434
2031,tavi_in_tavi,490.65,24.11654815135952
2032,tavi_in_savr,666.05,27.616690224343838
2032,tavi_in_tavi,540.5,22.744577144314746
2033,tavi_in_savr,593.05,22.7375761333756
2033,tavi_in_tavi,612.3,20.120950066508982
2034,tavi_in_savr,543.2,22.577585531253185
2034,tavi_in_tavi,668.2,22.797968515221964
2035,tavi_in_savr,484.15,23.96549054040215
2035,tavi_in_tavi,739.15,20.52283708713937
