year,viv_type,mean,sd,realized
2015,tavi_in_savr,67.55,7.082038065267284,0.0
2015,tavi_in_tavi,1.25,0.4629100498862757,1.25
2016,tavi_in_savr,102.25,6.781359900879996,0.0
2016,tavi_in_tavi,1.3636363636363635,0.674199862463242,1.3636363636363635
2017,tavi_in_savr,141.3,14.116433126343436,0.0
2017,tavi_in_tavi,1.875,1.0246950765959597,1.875
2018,tavi_in_savr,184.4,10.649437840364602,0.0
2018,tavi_in_tavi,2.65,1.4608937423083819,2.65
2019,tavi_in_savr,228.3,13.475513856035711,51.30000000000001
2019,tavi_in_tavi,3.35,1.6944180805158293,3.35
2020,tavi_in_savr,277.95,7.950339284385419,80.94999999999999
2020,tavi_in_tavi,6.05,2.114486375359025,6.05
2021,tavi_in_savr,336.15,18.0795755655817,153.14999999999998
2021,tavi_in_tavi,7.05,2.502104377476982,7.05
2022,tavi_in_savr,394.85,15.318633304436444,222.85000000000002
2022,tavi_in_tavi,9.05,2.438183102661747,9.05
2023,tavi_in_savr,441.25,21.50856622494004,221.25
2023,tavi_in_tavi,15.1,3.4320471104606147,15.1
2024,tavi_in_savr,518.8,19.422179399634295,298.79999999999995
2024,tavi_in_tavi,25.25,4.327087266340525,25.25
2025,tavi_in_savr,515.9,22.183208443372326,295.9
2025,tavi_in_tavi,41.3,7.92132365334561,41.3
2026,tavi_in_savr,546.15,20.60218435020908,326.15
2026,tavi_in_tavi,58.1,6.995487267178974,58.1
2027,tavi_in_savr,579.25,18.738856337623865,359.25
2027,tavi_in_tavi,80.0,12.307464572791844,80.0
2028,tavi_in_savr,592.6,19.09091820460023,372.6
2028,tavi_in_tavi,102.0,8.435513898799647,102.0
2029,tavi_in_savr,572.75,26.191350520835375,352.75
2029,tavi_in_tavi,134.55,8.786802304413255,134.55
2030,tavi_in_savr,549.1,27.642263598376037,329.1
2030,tavi_in_tavi,171.0,12.178497012098179,171.0
2031,tavi_in_savr,527.6,14.833816274416987,307.6
2031,tavi_in_tavi,222.15,14.875890066250083,222.15
2032,tavi_in_savr,501.85,22.77874124335186,281.85
2032,tavi_in_tavi,258.65,17.951029878093635,258.65
2033,tavi_in_savr,457.5,22.350085364254717,237.5
2033,tavi_in_tavi,320.0,12.392697340305736,320.0
2034,tavi_in_savr,424.15,21.465455724807807,204.14999999999998
2034,tavi_in_tavi,376.05,18.661739637980965,376.05
2035,tavi_in_savr,392.25,19.150030919309934,172.25
2035,tavi_in_tavi,444.6,16.566929645976554,444.6
