sex,age_band,year,count
Men,10-14,2012,3
Men,15-19,2012,5
Men,20-24,2012,9
Men,25-29,2012,12
Men,30-34,2012,22
Men,35-39,2012,28
Men,40-44,2012,32
Men,45-49,2012,41
Men,5-9,2012,2
Men,50-54,2012,78
Men,55-59,2012,105
Men,60-64,2012,122
Men,65-69,2012,119
Men,70-74,2012,161
Men,75-79,2012,102
Men,<5yr,2012,1
Men,>=80,2012,37
Women,15-19,2012,3
Women,20-24,2012,3
Women,25-29,2012,2
Women,30-34,2012,9
Women,35-39,2012,9
Women,40-44,2012,22
Women,45-49,2012,28
Women,50-54,2012,48
Women,55-59,2012,91
Women,60-64,2012,75
Women,65-69,2012,91
Women,70-74,2012,142
Women,75-79,2012,95
Women,<5yr,2012,2
Women,>=80,2012,32
Men,10-14,2013,6
Men,15-19,2013,3
Men,20-24,2013,7
Men,25-29,2013,14
Men,30-34,2013,12
Men,35-39,2013,25
Men,40-44,2013,43
Men,45-49,2013,60
Men,5-9,2013,4
Men,50-54,2013,84
Men,55-59,2013,103
Men,60-64,2013,118
Men,65-69,2013,116
Men,70-74,2013,161
Men,75-79,2013,105
Men,<5yr,2013,1
Men,>=80,2013,40
Women,10-14,2013,1
Women,15-19,2013,1
Women,20-24,2013,4
Women,25-29,2013,3
Women,30-34,2013,5
Women,35-39,2013,15
Women,40-44,2013,21
Women,45-49,2013,21
Women,50-54,2013,46
Women,55-59,2013,65
Women,60-64,2013,88
Women,65-69,2013,97
Women,70-74,2013,143
Women,75-79,2013,88
Women,>=80,2013,41
Men,10-14,2014,3
Men,15-19,2014,9
Men,20-24,2014,9
Men,25-29,2014,7
Men,30-34,2014,28
Men,35-39,2014,28
Men,40-44,2014,37
Men,45-49,2014,49
Men,50-54,2014,82
Men,55-59,2014,92
Men,60-64,2014,134
Men,65-69,2014,171
Men,70-74,2014,148
Men,75-79,2014,125
Men,<5yr,2014,1
Men,>=80,2014,42
Women,10-14,2014,1
Women,15-19,2014,1
Women,20-24,2014,1
Women,25-29,2014,3
Women,30-34,2014,1
Women,35-39,2014,11
Women,40-44,2014,20
Women,45-49,2014,37
Women,50-54,2014,52
Women,55-59,2014,71
Women,60-64,2014,92
Women,65-69,2014,94
Women,70-74,2014,151
Women,75-79,2014,127
Women,<5yr,2014,3
Women,>=80,2014,60
Men,10-14,2015,1
Men,15-19,2015,5
Men,20-24,2015,9
Men,25-29,2015,13
Men,30-34,2015,16
Men,35-39,2015,31
Men,40-44,2015,46
Men,45-49,2015,54
Men,5-9,2015,2
Men,50-54,2015,74
Men,55-59,2015,149
Men,60-64,2015,155
Men,65-69,2015,169
Men,70-74,2015,164
Men,75-79,2015,136
Men,<5yr,2015,2
Men,>=80,2015,42
Women,10-14,2015,1
Women,15-19,2015,2
Women,20-24,2015,2
Women,25-29,2015,1
Women,30-34,2015,2
Women,35-39,2015,6
Women,40-44,2015,17
Women,45-49,2015,23
Women,50-54,2015,62
Women,55-59,2015,80
Women,60-64,2015,104
Women,65-69,2015,128
Women,70-74,2015,139
Women,75-79,2015,137
Women,<5yr,2015,2
Women,>=80,2015,66
Men,10-14,2016,5
Men,15-19,2016,8
Men,20-24,2016,12
Men,25-29,2016,17
Men,30-34,2016,24
Men,35-39,2016,35
Men,40-44,2016,52
Men,45-49,2016,78
Men,5-9,2016,3
Men,50-54,2016,98
Men,55-59,2016,145
Men,60-64,2016,168
Men,65-69,2016,176
Men,70-74,2016,209
Men,75-79,2016,163
Men,>=80,2016,61
Women,10-14,2016,2
Women,15-19,2016,3
Women,20-24,2016,3
Women,25-29,2016,3
Women,30-34,2016,4
Women,35-39,2016,8
Women,40-44,2016,28
Women,45-49,2016,43
Women,50-54,2016,60
Women,55-59,2016,85
Women,60-64,2016,126
Women,65-69,2016,134
Women,70-74,2016,192
Women,75-79,2016,159
Women,<5yr,2016,1
Women,>=80,2016,74
Men,10-14,2017,3
Men,15-19,2017,4
Men,20-24,2017,5
Men,25-29,2017,14
Men,30-34,2017,19
Men,35-39,2017,31
Men,40-44,2017,47
Men,45-49,2017,80
Men,50-54,2017,86
Men,55-59,2017,142
Men,60-64,2017,178
Men,65-69,2017,193
Men,70-74,2017,181
Men,75-79,2017,145
Men,<5yr,2017,1
Men,>=80,2017,60
Women,10-14,2017,3
Women,20-24,2017,4
Women,25-29,2017,1
Women,30-34,2017,4
Women,35-39,2017,14
Women,40-44,2017,7
Women,45-49,2017,38
Women,5-9,2017,3
Women,50-54,2017,37
Women,55-59,2017,73
Women,60-64,2017,82
Women,65-69,2017,125
Women,70-74,2017,144
Women,75-79,2017,154
Women,<5yr,2017,1
Women,>=80,2017,70
Men,10-14,2018,3
Men,15-19,2018,4
Men,20-24,2018,8
Men,25-29,2018,15
Men,30-34,2018,18
Men,35-39,2018,27
Men,40-44,2018,54
Men,45-49,2018,74
Men,5-9,2018,1
Men,50-54,2018,93
Men,55-59,2018,156
Men,60-64,2018,185
Men,65-69,2018,216
Men,70-74,2018,195
Men,75-79,2018,159
Men,<5yr,2018,3
Men,>=80,2018,91
Women,10-14,2018,1
Women,15-19,2018,2
Women,20-24,2018,5
Women,25-29,2018,6
Women,30-34,2018,9
Women,35-39,2018,4
Women,40-44,2018,15
Women,45-49,2018,48
Women,50-54,2018,49
Women,55-59,2018,89
Women,60-64,2018,111
Women,65-69,2018,133
Women,70-74,2018,150
Women,75-79,2018,159
Women,<5yr,2018,1
Women,>=80,2018,85
Men,10-14,2019,5
Men,15-19,2019,13
Men,20-24,2019,11
Men,25-29,2019,15
Men,30-34,2019,19
Men,35-39,2019,30
Men,40-44,2019,29
Men,45-49,2019,62
Men,5-9,2019,2
Men,50-54,2019,97
Men,55-59,2019,136
