year,tavi_in_savr,tavi_in_tavi,total
2015,112.45,5.9,118.35000000000001
2016,167.75,8.5,176.25
2017,237.4,15.85,253.25
2018,299.75,22.95,322.7
2019,379.1,35.0,414.1
2020,466.95,53.3,520.25
2021,556.25,71.35,627.6
2022,654.7,93.3,748.0
2023,715.25,115.0,830.25
2024,817.55,143.35,960.9
2025,799.4,182.1,981.5
2026,824.9,221.3,1046.2
2027,852.35,274.1,1126.45
2028,852.75,312.05,1164.8
2029,802.1,371.0,1173.1
2030,765.0,425.45,1190.45
2031,714.25,490.65,1204.9
2032,666.05,540.5,1206.55
2033,593.05,612.3,1205.35
2034,543.2,668.2,1211.4
2035,484.15,739.15,1223.3
