year,tavi_in_savr,tavi_in_tavi,total
2015,0.0,1.25,1.25
2016,0.0,1.3636363636363635,1.3636363636363635
2017,0.0,1.875,1.875
2018,0.0,2.65,2.65
2019,51.30000000000001,3.35,54.65000000000001
2020,80.94999999999999,6.05,86.99999999999999
2021,153.14999999999998,7.05,160.2
2022,222.85000000000002,9.05,231.90000000000003
2023,221.25,15.1,236.35
2024,298.79999999999995,25.25,324.04999999999995
2025,295.9,41.3,337.2
2026,326.15,58.1,384.25
2027,359.25,80.0,439.25
2028,372.6,102.0,474.6
2029,352.75,134.55,487.3
2030,329.1,171.0,500.1
2031,307.6,222.15,529.75
2032,281.85,258.65,540.5
2033,237.5,320.0,557.5
2034,204.14999999999998,376.05,580.2
2035,172.25,444.6,616.85
