year,tavi_in_savr,tavi_in_tavi,total
2015,67.55,1.25,68.8
2016,102.25,1.3636363636363635,103.61363636363636
2017,141.3,1.875,143.175
2018,184.4,2.65,187.05
2019,228.3,3.35,231.65
2020,277.95,6.05,284.0
2021,336.15,7.05,343.2
2022,394.85,9.05,403.90000000000003
2023,441.25,15.1,456.35
2024,518.8,25.25,544.05
2025,515.9,41.3,557.1999999999999
2026,546.15,58.1,604.25
2027,579.25,80.0,659.25
2028,592.6,102.0,694.6
2029,572.75,134.55,707.3
2030,549.1,171.0,720.1
2031,527.6,222.15,749.75
2032,501.85,258.65,760.5
2033,457.5,320.0,777.5
2034,424.15,376.05,800.2
2035,392.25,444.6,836.85
