year,proc,index_cnt,deaths,failures,viable,run
2025,savr,2396.0,1808.85,1149.95,552.05,9.5
2025,tavi,1070.0,322.65,240.4,164.65,9.5
2026,savr,2466.0,1884.4,1280.65,577.4,9.5
2026,tavi,1124.0,374.4,308.05,207.0,9.5
2027,savr,2536.0,1939.3,1398.0,590.2,9.5
2027,tavi,1178.0,432.1,382.85,250.4,9.5
2028,savr,2606.0,1986.75,1530.65,619.65,9.5
2028,tavi,1232.0,501.35,447.15,283.5,9.5
2029,savr,2677.0,2046.15,1628.55,629.9,9.5
2029,tavi,1286.0,571.35,524.75,329.1,9.5
2030,savr,2747.0,2085.7,1752.75,651.6,9.5
2030,tavi,1340.0,636.35,598.75,369.8,9.5
2031,savr,2791.0,2187.2,1848.05,669.1,9.5
2031,tavi,1417.0,704.1,681.55,411.65,9.5
2032,savr,2835.0,2240.9,1937.4,682.9,9.5
2032,tavi,1494.0,750.05,761.35,448.15,9.5
2033,savr,2879.0,2328.0,2014.1,689.15,9.5
2033,tavi,1571.0,801.6,862.15,499.95,9.5
2034,savr,2923.0,2394.05,2105.5,716.35,9.5
2034,tavi,1648.0,859.3,946.5,547.0,9.5
2035,savr,2967.0,2420.5,2131.35,711.75,9.5
2035,tavi,1725.0,926.95,1034.1,595.35,9.5
