year,viv_type,mean,sd
2025,tavi_in_savr,552.05,17.11409083951462
2025,tavi_in_tavi,164.65,11.59071770176917
2026,tavi_in_savr,577.4,18.117743556495864
2026,tavi_in_tavi,207.0,13.521912041688402
2027,tavi_in_savr,590.2,23.198457298980742
2027,tavi_in_tavi,250.4,15.802731276253281
2028,tavi_in_savr,619.65,26.352419243780993
2028,tavi_in_tavi,283.5,20.41800031447999
2029,tavi_in_savr,629.9,24.324343448704354
2029,tavi_in_tavi,329.1,14.256669722587649
2030,tavi_in_savr,651.6,26.025089109509207
2030,tavi_in_tavi,369.8,12.399490651678102
2031,tavi_in_savr,669.1,33.69819610977168
2031,tavi_in_tavi,411.65,12.062447163778472
2032,tavi_in_savr,682.9,25.71073910379001
2032,tavi_in_tavi,448.15,20.80808294364171
2033,tavi_in_savr,689.15,28.185989427373297
2033,tavi_in_tavi,499.95,19.993354158977834
2034,tavi_in_savr,716.35,32.664603407809395
2034,tavi_in_tavi,547.0,20.913355088379088
2035,tavi_in_savr,711.75,24.659523621983414
2035,tavi_in_tavi,595.35,26.756750255038945
