run,year,viv_type,count
0,2025,tavi_in_savr,364
0,2025,tavi_in_tavi,35
0,2026,tavi_in_savr,391
0,2026,tavi_in_tavi,51
0,2027,tavi_in_savr,371
0,2027,tavi_in_tavi,78
0,2028,tavi_in_savr,427
0,2028,tavi_in_tavi,90
0,2029,tavi_in_savr,455
0,2029,tavi_in_tavi,131
0,2030,tavi_in_savr,491
0,2030,tavi_in_tavi,142
0,2031,tavi_in_savr,474
0,2031,tavi_in_tavi,177
0,2032,tavi_in_savr,536
0,2032,tavi_in_tavi,227
0,2033,tavi_in_savr,545
0,2033,tavi_in_tavi,267
0,2034,tavi_in_savr,547
0,2034,tavi_in_tavi,303
0,2035,tavi_in_savr,584
0,2035,tavi_in_tavi,408
1,2025,tavi_in_savr,356
1,2025,tavi_in_tavi,35
1,2026,tavi_in_savr,385
1,2026,tavi_in_tavi,58
1,2027,tavi_in_savr,402
1,2027,tavi_in_tavi,75
1,2028,tavi_in_savr,446
1,2028,tavi_in_tavi,102
1,2029,tavi_in_savr,441
1,2029,tavi_in_tavi,123
1,2030,tavi_in_savr,439
1,2030,tavi_in_tavi,133
1,2031,tavi_in_savr,493
1,2031,tavi_in_tavi,177
1,2032,tavi_in_savr,507
1,2032,tavi_in_tavi,207
1,2033,tavi_in_savr,568
1,2033,tavi_in_tavi,256
1,2034,tavi_in_savr,573
1,2034,tavi_in_tavi,308
1,2035,tavi_in_savr,557
1,2035,tavi_in_tavi,356
2,2025,tavi_in_savr,358
2,2025,tavi_in_tavi,32
2,2026,tavi_in_savr,355
2,2026,tavi_in_tavi,63
2,2027,tavi_in_savr,383
2,2027,tavi_in_tavi,70
2,2028,tavi_in_savr,444
2,2028,tavi_in_tavi,84
2,2029,tavi_in_savr,434
2,2029,tavi_in_tavi,151
2,2030,tavi_in_savr,476
2,2030,tavi_in_tavi,155
2,2031,tavi_in_savr,561
2,2031,tavi_in_tavi,172
2,2032,tavi_in_savr,513
2,2032,tavi_in_tavi,240
2,2033,tavi_in_savr,591
2,2033,tavi_in_tavi,280
2,2034,tavi_in_savr,578
2,2034,tavi_in_tavi,289
2,2035,tavi_in_savr,548
2,2035,tavi_in_tavi,369
3,2025,tavi_in_savr,349
3,2025,tavi_in_tavi,45
3,2026,tavi_in_savr,374
3,2026,tavi_in_tavi,54
3,2027,tavi_in_savr,356
3,2027,tavi_in_tavi,76
3,2028,tavi_in_savr,413
3,2028,tavi_in_tavi,97
3,2029,tavi_in_savr,462
3,2029,tavi_in_tavi,125
3,2030,tavi_in_savr,474
3,2030,tavi_in_tavi,149
3,2031,tavi_in_savr,520
3,2031,tavi_in_tavi,188
3,2032,tavi_in_savr,540
3,2032,tavi_in_tavi,251
3,2033,tavi_in_savr,548
3,2033,tavi_in_tavi,241
3,2034,tavi_in_savr,551
3,2034,tavi_in_tavi,321
3,2035,tavi_in_savr,594
3,2035,tavi_in_tavi,384
4,2025,tavi_in_savr,366
4,2025,tavi_in_tavi,39
4,2026,tavi_in_savr,419
4,2026,tavi_in_tavi,54
4,2027,tavi_in_savr,389
4,2027,tavi_in_tavi,80
4,2028,tavi_in_savr,446
4,2028,tavi_in_tavi,99
4,2029,tavi_in_savr,423
4,2029,tavi_in_tavi,113
4,2030,tavi_in_savr,485
4,2030,tavi_in_tavi,168
4,2031,tavi_in_savr,501
4,2031,tavi_in_tavi,188
4,2032,tavi_in_savr,491
4,2032,tavi_in_tavi,223
4,2033,tavi_in_savr,572
4,2033,tavi_in_tavi,260
4,2034,tavi_in_savr,570
4,2034,tavi_in_tavi,311
4,2035,tavi_in_savr,536
4,2035,tavi_in_tavi,375
5,2025,tavi_in_savr,378
5,2025,tavi_in_tavi,25
5,2026,tavi_in_savr,390
5,2026,tavi_in_tavi,53
5,2027,tavi_in_savr,407
5,2027,tavi_in_tavi,74
5,2028,tavi_in_savr,478
5,2028,tavi_in_tavi,98
5,2029,tavi_in_savr,439
5,2029,tavi_in_tavi,117
5,2030,tavi_in_savr,488
5,2030,tavi_in_tavi,170
5,2031,tavi_in_savr,496
5,2031,tavi_in_tavi,171
5,2032,tavi_in_savr,544
5,2032,tavi_in_tavi,228
5,2033,tavi_in_savr,509
