year,viv_type,mean,sd,realized
2025,tavi_in_savr,357.6,15.425201525596458,357.6
2025,tavi_in_tavi,34.9,6.624515871089433,34.9
2026,tavi_in_savr,381.8,16.359770941647014,381.8
2026,tavi_in_tavi,53.8,4.7969288420602485,53.8
2027,tavi_in_savr,395.95,19.747018429173178,395.95
2027,tavi_in_tavi,72.95,7.265455395586923,72.95
2028,tavi_in_savr,427.75,21.69131526428807,427.75
2028,tavi_in_tavi,92.15,10.006708276267267,92.15
2029,tavi_in_savr,441.8,22.23700093372115,441.8
2029,tavi_in_tavi,122.1,12.443133807340029,122.1
2030,tavi_in_savr,474.65,17.12577312891765,474.65
2030,tavi_in_tavi,153.3,9.67960416763543,153.3
2031,tavi_in_savr,494.0,24.889228276716945,494.0
2031,tavi_in_tavi,181.7,10.068711306240788,181.7
2032,tavi_in_savr,513.0,21.02629932151386,513.0
2032,tavi_in_tavi,217.8,18.02512865856703,217.8
2033,tavi_in_savr,534.0,25.33564163075616,534.0
2033,tavi_in_tavi,260.15,13.639242917714341,260.15
2034,tavi_in_savr,562.1,26.223533023041078,562.1
2034,tavi_in_tavi,304.0,12.920811445921371,304.0
2035,tavi_in_savr,568.25,24.183236908412823,568.25
2035,tavi_in_tavi,356.95,22.693553455134623,356.95
