year,age,population
2022,50,850170.0
2022,51,850170.0
2022,52,850170.0
2022,53,850170.0
2022,54,850170.0
2022,55,849915.0
2022,56,849915.0
2022,57,849915.0
2022,58,849915.0
2022,59,849915.0
2022,60,849915.0
2022,61,849915.0
2022,62,849915.0
2022,63,849915.0
2022,64,849915.0
2022,65,612000.0
2022,66,612000.0
2022,67,612000.0
2022,68,612000.0
2022,69,612000.0
2022,70,434000.0
2022,71,434000.0
2022,72,434000.0
2022,73,434000.0
2022,74,434000.0
2022,75,283000.0
2022,76,283000.0
2022,77,283000.0
2022,78,283000.0
2022,79,283000.0
2022,80,283000.0
2022,81,283000.0
2022,82,283000.0
2022,83,283000.0
2022,84,283000.0
2022,85,920000.0
2023,50,856838.0
2023,51,856838.0
2023,52,856838.0
2023,53,856838.0
2023,54,856838.0
2023,55,856581.0
2023,56,856581.0
2023,57,856581.0
2023,58,856581.0
2023,59,856581.0
2023,60,856581.0
2023,61,856581.0
2023,62,856581.0
2023,63,856581.0
2023,64,856581.0
2023,65,656000.0
2023,66,656000.0
2023,67,656000.0
2023,68,656000.0
2023,69,656000.0
2023,70,446000.0
2023,71,446000.0
2023,72,446000.0
2023,73,446000.0
2023,74,446000.0
2023,75,295000.0
2023,76,295000.0
2023,77,295000.0
2023,78,295000.0
2023,79,295000.0
2023,80,295000.0
2023,81,295000.0
2023,82,295000.0
2023,83,295000.0
2023,84,295000.0
2023,85,980000.0
2024,50,861505.6
2024,51,861505.6
2024,52,861505.6
2024,53,861505.6
2024,54,861505.6
2024,55,861247.2
2024,56,861247.2
2024,57,861247.2
2024,58,861247.2
2024,59,861247.2
2024,60,861247.2
2024,61,861247.2
2024,62,861247.2
2024,63,861247.2
2024,64,861247.2
2024,65,702000.0
2024,66,702000.0
2024,67,702000.0
2024,68,702000.0
2024,69,702000.0
2024,70,464000.0
2024,71,464000.0
2024,72,464000.0
2024,73,464000.0
2024,74,464000.0
2024,75,305000.0
2024,76,305000.0
2024,77,305000.0
2024,78,305000.0
2024,79,305000.0
2024,80,305000.0
2024,81,305000.0
2024,82,305000.0
2024,83,305000.0
2024,84,305000.0
2024,85,1060000.0
2025,50,854837.6
2025,51,854837.6
2025,52,854837.6
2025,53,854837.6
2025,54,854837.6
2025,55,854581.2
2025,56,854581.2
2025,57,854581.2
2025,58,854581.2
2025,59,854581.2
2025,60,854581.2
2025,61,854581.2
2025,62,854581.2
2025,63,854581.2
2025,64,854581.2
2025,65,736000.0
2025,66,736000.0
2025,67,736000.0
2025,68,736000.0
2025,69,736000.0
2025,70,506000.0
2025,71,506000.0
2025,72,506000.0
2025,73,506000.0
2025,74,506000.0
2025,75,316000.0
2025,76,316000.0
2025,77,316000.0
2025,78,316000.0
2025,79,316000.0
2025,80,316000.0
2025,81,316000.0
2025,82,316000.0
2025,83,316000.0
2025,84,316000.0
2025,85,1140000.0
2026,50,849503.2
2026,51,849503.2
2026,52,849503.2
2026,53,849503.2
2026,54,849503.2
2026,55,849248.4
2026,56,849248.4
2026,57,849248.4
2026,58,849248.4
2026,59,849248.4
2026,60,849248.4
2026,61,849248.4
2026,62,849248.4
2026,63,849248.4
2026,64,849248.4
2026,65,750400.0
2026,66,750400.0
2026,67,750400.0
2026,68,750400.0
2026,69,750400.0
2026,70,546000.0
2026,71,546000.0
2026,72,546000.0
2026,73,546000.0
2026,74,546000.0
2026,75,330600.0
2026,76,330600.0
2026,77,330600.0
2026,78,330600.0
2026,79,330600.0
2026,80,330600.0
2026,81,330600.0
2026,82,330600.0
2026,83,330600.0
2026,84,330600.0
2026,85,1216000.0
2027,50,844168.8
2027,51,844168.8
2027,52,844168.8
2027,53,844168.8
2027,54,844168.8
2027,55,843915.6
2027,56,843915.6
2027,57,843915.6
2027,58,843915.6
2027,59,843915.6
2027,60,843915.6
2027,61,843915.6
2027,62,843915.6
2027,63,843915.6
2027,64,843915.6
2027,65,764800.0
2027,66,764800.0
2027,67,764800.0
2027,68,764800.0
2027,69,764800.0
2027,70,586000.0
2027,71,586000.0
2027,72,586000.0
2027,73,586000.0
2027,74,586000.0
2027,75,345200.0
2027,76,345200.0
2027,77,345200.0
2027,78,345200.0
2027,79,345200.0
2027,80,345200.0
2027,81,345200.0
2027,82,345200.0
2027,83,345200.0
2027,84,345200.0
2027,85,1292000.0
2028,50,838834.3999999999
2028,51,838834.3999999999
2028,52,838834.3999999999
2028,53,838834.3999999999
2028,54,838834.3999999999
2028,55,838582.8
2028,56,838582.8
2028,57,838582.8
2028,58,838582.8
2028,59,838582.8
2028,60,838582.8
2028,61,838582.8
2028,62,838582.8
2028,63,838582.8
2028,64,838582.8
2028,65,779200.0
2028,66,779200.0
2028,67,779200.0
2028,68,779200.0
2028,69,779200.0
2028,70,626000.0
2028,71,626000.0
2028,72,626000.0
2028,73,626000.0
2028,74,626000.0
2028,75,359800.0
2028,76,359800.0
2028,77,359800.0
2028,78,359800.0
2028,79,359800.0
2028,80,359800.0
2028,81,359800.0
2028,82,359800.0
2028,83,359800.0
2028,84,359800.0
2028,85,1368000.0
2029,50,833499.9999999999
2029,51,833499.9999999999
2029,52,833499.9999999999
2029,53,833499.9999999999
2029,54,833499.9999999999
2029,55,833250.0
2029,56,833250.0
2029,57,833250.0
2029,58,833250.0
2029,59,833250.0
2029,60,833250.0
2029,61,833250.0
2029,62,833250.0
2029,63,833250.0
2029,64,833250.0
2029,65,793600.0
2029,66,793600.0
2029,67,793600.0
2029,68,793600.0
2029,69,793600.0
2029,70,666000.0
2029,71,666000.0
2029,72,666000.0
2029,73,666000.0
2029,74,666000.0
2029,75,374400.0
2029,76,374400.0
2029,77,374400.0
2029,78,374400.0
2029,79,374400.0
2029,80,374400.0
2029,81,374400.0
2029,82,374400.0
2029,83,374400.0
2029,84,374400.0
2029,85,1444000.0
2030,50,828165.5999999999
2030,51,828165.5999999999
2030,52,828165.5999999999
2030,53,828165.5999999999
2030,54,828165.5999999999
2030,55,827917.2
2030,56,827917.2
2030,57,827917.2
2030,58,827917.2
2030,59,827917.2
2030,60,827917.2
2030,61,827917.2
2030,62,827917.2
2030,63,827917.2
2030,64,827917.2
2030,65,808000.0
2030,66,808000.0
2030,67,808000.0
2030,68,808000.0
2030,69,808000.0
2030,70,706000.0
2030,71,706000.0
2030,72,706000.0
2030,73,706000.0
2030,74,706000.0
2030,75,389000.0
2030,76,389000.0
2030,77,389000.0
2030,78,389000.0
2030,79,389000.0
2030,80,389000.0
2030,81,389000.0
2030,82,389000.0
2030,83,389000.0
2030,84,389000.0
2030,85,1520000.0
2031,50,818296.96
2031,51,818296.96
2031,52,818296.96
2031,53,818296.96
2031,54,818296.96
2031,55,818051.5199999999
2031,56,818051.5199999999
2031,57,818051.5199999999
2031,58,818051.5199999999
2031,59,818051.5199999999
2031,60,818051.5199999999
2031,61,818051.5199999999
2031,62,818051.5199999999
2031,63,818051.5199999999
2031,64,818051.5199999999
2031,65,810800.0
2031,66,810800.0
2031,67,810800.0
2031,68,810800.0
2031,69,810800.0
2031,70,715200.0
2031,71,715200.0
2031,72,715200.0
2031,73,715200.0
2031,74,715200.0
2031,75,415400.0
2031,76,415400.0
2031,77,415400.0
2031,78,415400.0
2031,79,415400.0
2031,80,415400.0
2031,81,415400.0
2031,82,415400.0
2031,83,415400.0
2031,84,415400.0
2031,85,1613000.0
2032,50,808428.32
2032,51,808428.32
2032,52,808428.32
2032,53,808428.32
2032,54,808428.32
2032,55,808185.84
2032,56,808185.84
2032,57,808185.84
2032,58,808185.84
2032,59,808185.84
2032,60,808185.84
2032,61,808185.84
2032,62,808185.84
2032,63,808185.84
2032,64,808185.84
2032,65,813600.0
2032,66,813600.0
2032,67,813600.0
2032,68,813600.0
2032,69,813600.0
2032,70,724400.0
2032,71,724400.0
2032,72,724400.0
2032,73,724400.0
2032,74,724400.0
2032,75,441800.0
2032,76,441800.0
2032,77,441800.0
2032,78,441800.0
2032,79,441800.0
2032,80,441800.0
2032,81,441800.0
2032,82,441800.0
2032,83,441800.0
2032,84,441800.0
2032,85,1706000.0
2033,50,798559.6799999999
2033,51,798559.6799999999
2033,52,798559.6799999999
2033,53,798559.6799999999
2033,54,798559.6799999999
2033,55,798320.1599999999
2033,56,798320.1599999999
2033,57,798320.1599999999
2033,58,798320.1599999999
2033,59,798320.1599999999
2033,60,798320.1599999999
2033,61,798320.1599999999
2033,62,798320.1599999999
2033,63,798320.1599999999
2033,64,798320.1599999999
2033,65,816400.0
2033,66,816400.0
2033,67,816400.0
2033,68,816400.0
2033,69,816400.0
2033,70,733600.0
2033,71,733600.0
2033,72,733600.0
2033,73,733600.0
2033,74,733600.0
2033,75,468200.0
2033,76,468200.0
2033,77,468200.0
2033,78,468200.0
2033,79,468200.0
2033,80,468200.0
2033,81,468200.0
2033,82,468200.0
2033,83,468200.0
2033,84,468200.0
2033,85,1799000.0
2034,50,788691.0399999999
2034,51,788691.0399999999
2034,52,788691.0399999999
2034,53,788691.0399999999
2034,54,788691.0399999999
2034,55,788454.48
2034,56,788454.48
2034,57,788454.48
2034,58,788454.48
2034,59,788454.48
2034,60,788454.48
2034,61,788454.48
2034,62,788454.48
2034,63,788454.48
2034,64,788454.48
2034,65,819200.0
2034,66,819200.0
2034,67,819200.0
2034,68,819200.0
2034,69,819200.0
2034,70,742800.0
2034,71,742800.0
2034,72,742800.0
2034,73,742800.0
2034,74,742800.0
2034,75,494600.0
2034,76,494600.0
2034,77,494600.0
2034,78,494600.0
2034,79,494600.0
2034,80,494600.0
2034,81,494600.0
2034,82,494600.0
2034,83,494600.0
2034,84,494600.0
2034,85,1892000.0
2035,50,778822.3999999999
2035,51,778822.3999999999
2035,52,778822.3999999999
2035,53,778822.3999999999
2035,54,778822.3999999999
2035,55,778588.8
2035,56,778588.8
2035,57,778588.8
2035,58,778588.8
2035,59,778588.8
2035,60,778588.8
2035,61,778588.8
2035,62,778588.8
2035,63,778588.8
2035,64,778588.8
2035,65,822000.0
2035,66,822000.0
2035,67,822000.0
2035,68,822000.0
2035,69,822000.0
2035,70,752000.0
2035,71,752000.0
2035,72,752000.0
2035,73,752000.0
2035,74,752000.0
2035,75,521000.0
2035,76,521000.0
2035,77,521000.0
2035,78,521000.0
2035,79,521000.0
2035,80,521000.0
2035,81,521000.0
2035,82,521000.0
2035,83,521000.0
2035,84,521000.0
2035,85,1985000.0
2036,50,768953.76
2036,51,768953.76
2036,52,768953.76
2036,53,768953.76
2036,54,768953.76
2036,55,768723.1199999999
2036,56,768723.1199999999
2036,57,768723.1199999999
2036,58,768723.1199999999
2036,59,768723.1199999999
2036,60,768723.1199999999
2036,61,768723.1199999999
2036,62,768723.1199999999
2036,63,768723.1199999999
2036,64,768723.1199999999
2036,65,824800.0
2036,66,824800.0
2036,67,824800.0
2036,68,824800.0
2036,69,824800.0
2036,70,761200.0
2036,71,761200.0
2036,72,761200.0
2036,73,761200.0
2036,74,761200.0
2036,75,547400.0
2036,76,547400.0
2036,77,547400.0
2036,78,547400.0
2036,79,547400.0
2036,80,547400.0
2036,81,547400.0
2036,82,547400.0
2036,83,547400.0
2036,84,547400.0
2036,85,2078000.0
2037,50,759085.1199999999
2037,51,759085.1199999999
2037,52,759085.1199999999
2037,53,759085.1199999999
2037,54,759085.1199999999
2037,55,758857.44
2037,56,758857.44
2037,57,758857.44
2037,58,758857.44
2037,59,758857.44
2037,60,758857.44
2037,61,758857.44
2037,62,758857.44
2037,63,758857.44
2037,64,758857.44
2037,65,827600.0
2037,66,827600.0
2037,67,827600.0
2037,68,827600.0
2037,69,827600.0
2037,70,770400.0
2037,71,770400.0
2037,72,770400.0
2037,73,770400.0
2037,74,770400.0
2037,75,573800.0
2037,76,573800.0
2037,77,573800.0
2037,78,573800.0
2037,79,573800.0
2037,80,573800.0
2037,81,573800.0
2037,82,573800.0
2037,83,573800.0
2037,84,573800.0
2037,85,2171000.0
2038,50,749216.48
2038,51,749216.48
2038,52,749216.48
2038,53,749216.48
2038,54,749216.48
2038,55,748991.76
2038,56,748991.76
2038,57,748991.76
2038,58,748991.76
2038,59,748991.76
2038,60,748991.76
2038,61,748991.76
2038,62,748991.76
2038,63,748991.76
2038,64,748991.76
2038,65,830400.0
2038,66,830400.0
2038,67,830400.0
2038,68,830400.0
2038,69,830400.0
2038,70,779600.0
2038,71,779600.0
2038,72,779600.0
2038,73,779600.0
2038,74,779600.0
2038,75,600200.0
2038,76,600200.0
2038,77,600200.0
2038,78,600200.0
2038,79,600200.0
2038,80,600200.0
2038,81,600200.0
2038,82,600200.0
2038,83,600200.0
2038,84,600200.0
2038,85,2264000.0
2039,50,739347.84
2039,51,739347.84
2039,52,739347.84
2039,53,739347.84
2039,54,739347.84
2039,55,739126.08
2039,56,739126.08
2039,57,739126.08
2039,58,739126.08
2039,59,739126.08
2039,60,739126.08
2039,61,739126.08
2039,62,739126.08
2039,63,739126.08
2039,64,739126.08
2039,65,833200.0
2039,66,833200.0
2039,67,833200.0
2039,68,833200.0
2039,69,833200.0
2039,70,788800.0
2039,71,788800.0
2039,72,788800.0
2039,73,788800.0
2039,74,788800.0
2039,75,626600.0
2039,76,626600.0
2039,77,626600.0
2039,78,626600.0
2039,79,626600.0
2039,80,626600.0
2039,81,626600.0
2039,82,626600.0
2039,83,626600.0
2039,84,626600.0
2039,85,2357000.0
2040,50,729479.2
2040,51,729479.2
2040,52,729479.2
2040,53,729479.2
2040,54,729479.2
2040,55,729260.4
2040,56,729260.4
2040,57,729260.4
2040,58,729260.4
2040,59,729260.4
2040,60,729260.4
2040,61,729260.4
2040,62,729260.4
2040,63,729260.4
2040,64,729260.4
2040,65,836000.0
2040,66,836000.0
2040,67,836000.0
2040,68,836000.0
2040,69,836000.0
2040,70,798000.0
2040,71,798000.0
2040,72,798000.0
2040,73,798000.0
2040,74,798000.0
2040,75,653000.0
2040,76,653000.0
2040,77,653000.0
2040,78,653000.0
2040,79,653000.0
2040,80,653000.0
2040,81,653000.0
2040,82,653000.0
2040,83,653000.0
2040,84,653000.0
2040,85,2450000.0
2041,50,726078.5199999999
2041,51,726078.5199999999
2041,52,726078.5199999999
2041,53,726078.5199999999
2041,54,726078.5199999999
2041,55,725860.74
2041,56,725860.74
2041,57,725860.74
2041,58,725860.74
2041,59,725860.74
2041,60,725860.74
2041,61,725860.74
2041,62,725860.74
2041,63,725860.74
2041,64,725860.74
2041,65,827200.0
2041,66,827200.0
2041,67,827200.0
2041,68,827200.0
2041,69,827200.0
2041,70,791000.0
2041,71,791000.0
2041,72,791000.0
2041,73,791000.0
2041,74,791000.0
2041,75,660200.0
2041,76,660200.0
2041,77,660200.0
2041,78,660200.0
2041,79,660200.0
2041,80,660200.0
2041,81,660200.0
2041,82,660200.0
2041,83,660200.0
2041,84,660200.0
2041,85,2633000.0
2042,50,722677.84
2042,51,722677.84
2042,52,722677.84
2042,53,722677.84
2042,54,722677.84
2042,55,722461.08
2042,56,722461.08
2042,57,722461.08
2042,58,722461.08
2042,59,722461.08
2042,60,722461.08
2042,61,722461.08
2042,62,722461.08
2042,63,722461.08
2042,64,722461.08
2042,65,818400.0
2042,66,818400.0
2042,67,818400.0
2042,68,818400.0
2042,69,818400.0
2042,70,784000.0
2042,71,784000.0
2042,72,784000.0
2042,73,784000.0
2042,74,784000.0
2042,75,667400.0
2042,76,667400.0
2042,77,667400.0
2042,78,667400.0
2042,79,667400.0
2042,80,667400.0
2042,81,667400.0
2042,82,667400.0
2042,83,667400.0
2042,84,667400.0
2042,85,2816000.0
2043,50,719277.1599999999
2043,51,719277.1599999999
