year,sex,age_band,population
2022,Men,50-54,1857353.3783783782
2022,Women,50-54,2393496.621621622
2022,Men,55-59,1856796.2837837837
2022,Women,55-59,2392778.7162162163
2022,Men,60-64,1856796.2837837837
2022,Women,60-64,2392778.7162162163
2022,Men,65-69,1337027.0270270268
2022,Women,65-69,1722972.9729729732
2022,Men,70-74,897272.7272727273
2022,Women,70-74,1272727.2727272727
2022,Men,75-79,540463.5352286773
2022,Women,75-79,874536.4647713227
2022,Men,80-84,540463.5352286773
2022,Women,80-84,874536.4647713227
2022,Men,≥85,261917.0243204577
2022,Women,≥85,658082.9756795423
2023,Men,50-54,1882738.206278027
2023,Women,50-54,2401451.793721973
2023,Men,55-59,1882173.4977578474
2023,Women,55-59,2400731.5022421526
2023,Men,60-64,1882173.4977578474
2023,Women,60-64,2400731.5022421526
2023,Men,65-69,1441434.9775784754
2023,Women,65-69,1838565.0224215246
2023,Men,70-74,926668.6148451196
2023,Women,70-74,1303331.3851548804
2023,Men,75-79,569536.525475752
2023,Women,75-79,905463.474524248
2023,Men,80-84,569536.525475752
2023,Women,80-84,905463.474524248
2023,Men,≥85,282987.1977240399
2023,Women,≥85,697012.8022759601
2024,Men,50-54,1901087.776536313
2024,Women,50-54,2406440.223463687
2024,Men,55-59,1900517.5642458103
2024,Women,55-59,2405718.4357541897
2024,Men,60-64,1900517.5642458103
2024,Women,60-64,2405718.4357541897
2024,Men,65-69,1549106.1452513966
2024,Women,65-69,1960893.8547486034
2024,Men,70-74,969592.549476135
2024,Women,70-74,1350407.450523865
2024,Men,75-79,593986.568986569
2024,Women,75-79,931013.431013431
2024,Men,80-84,593986.568986569
2024,Women,80-84,931013.431013431
2024,Men,≥85,311412.42937853106
2024,Women,≥85,748587.5706214689
2025,Men,50-54,1894350.5835189307
2025,Women,50-54,2379837.4164810693
2025,Men,55-59,1893782.3919821824
2025,Women,55-59,2379123.6080178176
2025,Men,60-64,1893782.3919821824
2025,Women,60-64,2379123.6080178176
2025,Men,65-69,1631002.227171492
2025,Women,65-69,2048997.772828508
2025,Men,70-74,1065031.8471337578
2025,Women,70-74,1464968.1528662422
2025,Men,75-79,620680.0242865817
2025,Women,75-79,959319.9757134183
2025,Men,80-84,620680.0242865817
2025,Women,80-84,959319.9757134183
2025,Men,≥85,340000.0
2025,Women,≥85,800000.0
2026,Men,50-54,1889880.564831261
2026,Women,50-54,2357635.435168739
2026,Men,55-59,1889313.7140319715
2026,Women,55-59,2356928.2859680285
2026,Men,60-64,1889313.7140319715
2026,Women,60-64,2356928.2859680285
2026,Men,65-69,1669406.7495559503
2026,Women,65-69,2082593.2504440497
2026,Men,70-74,1156694.3291839557
2026,Women,70-74,1573305.6708160443
2026,Men,75-79,654449.8006524104
2026,Women,75-79,998550.1993475896
2026,Men,80-84,654449.8006524104
2026,Women,80-84,998550.1993475896
2026,Men,≥85,368376.96919001814
2026,Women,≥85,847623.0308099819
2027,Men,50-54,1885272.9508632137
2027,Women,50-54,2335571.0491367863
2027,Men,55-59,1884707.482071713
2027,Women,55-59,2334870.517928287
2027,Men,60-64,1884707.482071713
2027,Women,60-64,2334870.517928287
2027,Men,65-69,1708019.4776449758
2027,Women,65-69,2115980.5223550242
2027,Men,70-74,1249375.932086727
2027,Women,70-74,1680624.067913273
2027,Men,75-79,688615.6990022841
2027,Women,75-79,1037384.3009977159
2027,Men,80-84,688615.6990022841
2027,Women,80-84,1037384.3009977159
2027,Men,≥85,397387.06550339283
2027,Women,≥85,894612.9344966072
2028,Men,50-54,1880529.0167696378
2028,Women,50-54,2313642.9832303617
2028,Men,55-59,1879964.9708737861
2028,Women,55-59,2312949.029126214
2028,Men,60-64,1879964.9708737861
2028,Women,60-64,2312949.029126214
2028,Men,65-69,1746838.481906443
2028,Women,65-69,2149161.518093557
2028,Men,70-74,1343062.3430006849
2028,Women,70-74,1786937.6569993151
2028,Men,75-79,723171.749790695
2028,Women,75-79,1075828.250209305
2028,Men,80-84,723171.749790695
2028,Women,80-84,1075828.250209305
2028,Men,≥85,427017.74659512995
2028,Women,≥85,940982.25340487
2029,Men,50-54,1875650.02199736
2029,Women,50-54,2291849.9780026395
2029,Men,55-59,1875087.439507259
2029,Women,55-59,2291162.560492741
2029,Men,60-64,1875087.439507259
2029,Women,60-64,2291162.560492741
2029,Men,65-69,1785861.8565772106
2029,Women,65-69,2182138.1434227894
2029,Men,70-74,1437739.5158540744
2029,Women,70-74,1892260.4841459256
2029,Men,75-79,758112.1028204213
2029,Women,75-79,1113887.8971795787
2029,Men,80-84,758112.1028204213
2029,Women,80-84,1113887.8971795787
2029,Men,≥85,457256.79923465906
2029,Women,≥85,986743.2007653409
2030,Men,50-54,1870637.2105263155
2030,Women,50-54,2270190.789473684
2030,Men,55-59,1870076.1315789474
2030,Women,55-59,2269509.8684210526
2030,Men,60-64,1870076.1315789474
2030,Women,60-64,2269509.8684210526
2030,Men,65-69,1825087.7192982459
2030,Women,65-69,2214912.280701754
2030,Men,70-74,1533393.665158371
2030,Women,70-74,1996606.334841629
2030,Men,75-79,793431.0242747187
2030,Women,75-79,1151568.9757252813
2030,Men,80-84,793431.0242747187
2030,Women,80-84,1151568.9757252813
2030,Men,≥85,488092.3285811269
2030,Women,≥85,1031907.6714188731
2031,Men,50-54,1851416.472597865
2031,Women,50-54,2240068.327402135
2031,Men,55-59,1850861.1587188612
2031,Women,55-59,2239396.4412811385
2031,Men,60-64,1850861.1587188612
2031,Women,60-64,2239396.4412811385
2031,Men,65-69,1834454.4210238159
2031,Women,65-69,2219545.578976184
2031,Men,70-74,1557941.3092550791
2031,Women,70-74,2018058.6907449209
2031,Men,75-79,852209.340724142
2031,Women,75-79,1224790.659275858
2031,Men,80-84,852209.340724142
2031,Women,80-84,1224790.659275858
2031,Men,≥85,525046.4049642519
2031,Women,≥85,1087953.595035748
2032,Men,50-54,1832113.38786222
2032,Women,50-54,2210028.2121377797
2032,Men,55-59,1831563.8637506836
2032,Women,55-59,2209365.336249316
2032,Men,60-64,1831563.8637506836
2032,Women,60-64,2209365.336249316
2032,Men,65-69,1843833.7889557136
2032,Women,65-69,2224166.2110442864
2032,Men,70-74,1582585.5855855853
2032,Women,70-74,2039414.4144144147
2032,Men,75-79,911572.5361212264
2032,Women,75-79,1297427.4638787736
2032,Men,80-84,911572.5361212264
2032,Women,80-84,1297427.4638787736
2032,Men,≥85,562721.6190859133
2032,Women,≥85,1143278.3809140867
2033,Men,50-54,1812728.2935298937
2033,Women,50-54,2180070.106470106
2033,Men,55-59,1812184.583783784
2033,Women,55-59,2179416.216216216
2033,Men,60-64,1812184.583783784
2033,Women,60-64,2179416.216216216
2033,Men,65-69,1853225.7712257714
2033,Women,65-69,2228774.2287742286
2033,Men,70-74,1607325.8426966292
2033,Women,70-74,2060674.1573033708
2033,Men,75-79,971513.6305136306
2033,Women,75-79,1369486.3694863694
2033,Men,80-84,971513.6305136306
2033,Women,80-84,1369486.3694863694
2033,Men,≥85,601104.1416966307
2033,Women,≥85,1197895.8583033693
2034,Men,50-54,1793261.5249727373
2034,Women,50-54,2150193.6750272624
2034,Men,55-59,1792723.654089422
2034,Women,55-59,2149548.745910578
2034,Men,60-64,1792723.654089422
2034,Women,60-64,2149548.745910578
2034,Men,65-69,1862630.3162486372
2034,Women,65-69,2233369.683751363
2034,Men,70-74,1632161.4349775782
2034,Women,70-74,2081838.5650224218
2034,Men,75-79,1032025.754574059
2034,Women,75-79,1440974.245425941
2034,Men,80-84,1032025.754574059
2034,Women,80-84,1440974.245425941
2034,Men,≥85,640180.4949053859
2034,Women,≥85,1251819.505094614
2035,Men,50-54,1773713.415736455
2035,Women,50-54,2120398.5842635445
2035,Men,55-59,1773181.408113259
2035,Women,55-59,2119762.591886741
2035,Men,60-64,1773181.408113259
2035,Women,60-64,2119762.591886741
2035,Men,65-69,1872047.3727198476
2035,Women,65-69,2237952.6272801524
2035,Men,70-74,1657091.722595078
2035,Women,70-74,2102908.277404922
2035,Men,75-79,1093102.1474172955
2035,Women,75-79,1511897.8525827045
2035,Men,80-84,1093102.1474172955
2035,Women,80-84,1511897.8525827045
2035,Men,≥85,679937.5410913872
2035,Women,≥85,1305062.4589086128
2036,Men,50-54,1754084.2975530177
2036,Women,50-54,2090684.502446982
2036,Men,55-59,1753558.177487765
2036,Women,55-59,2090057.4225122347
2036,Men,60-64,1753558.177487765
2036,Women,60-64,2090057.4225122347
2036,Men,65-69,1881476.8896139204
2036,Women,65-69,2242523.1103860796
2036,Men,70-74,1682116.0714285714
2036,Women,70-74,2123883.9285714286
2036,Men,75-79,1154736.1544687247
2036,Women,75-79,1582263.8455312753
2036,Men,80-84,1154736.1544687247
2036,Women,80-84,1582263.8455312753
2036,Men,≥85,720362.4722331113
2036,Women,≥85,1357637.5277668887
2037,Men,50-54,1734374.500352973
2037,Women,50-54,2061051.0996470267
2037,Men,55-59,1733854.2920445288
