year,viv_type,mean,sd
2025,tavi_in_savr,38.98936170212766,53.491109717486765
2025,tavi_in_tavi,20.38993710691824,14.995651083417163
2026,tavi_in_savr,39.734982332155475,53.547987482128654
2026,tavi_in_tavi,25.386292834890966,18.44418096654009
2027,tavi_in_savr,39.513698630136986,53.351165786142644
2027,tavi_in_tavi,30.778125,21.344410181664312
2028,tavi_in_savr,41.80701754385965,54.34223793533087
2028,tavi_in_tavi,35.138364779874216,23.280480982874057
2029,tavi_in_savr,42.10801393728223,54.89327380452754
2029,tavi_in_tavi,39.29179331306991,27.626868540820624
2030,tavi_in_savr,43.1013986013986,56.121424105693244
2030,tavi_in_tavi,45.1609907120743,31.400915269475572
2031,tavi_in_savr,43.19580419580419,55.62219155031355
2031,tavi_in_tavi,50.63467492260062,36.161254257059234
2032,tavi_in_savr,42.50511945392491,56.59987058654608
2032,tavi_in_tavi,54.74085365853659,41.476015417666765
2033,tavi_in_savr,43.67697594501718,56.916079654499654
2033,tavi_in_tavi,60.08206686930091,46.538562039352215
2034,tavi_in_savr,45.20618556701031,58.26111345414855
2034,tavi_in_tavi,66.1441717791411,51.955668201217634
2035,tavi_in_savr,44.67687074829932,58.933302461170676
2035,tavi_in_tavi,72.9939024390244,59.55574542274621
