year,tavi_in_savr,tavi_in_tavi,total
2025,552.5666666666667,324.3,876.8666666666668
2026,561.0,408.53333333333336,969.5333333333333
2027,580.7,494.8666666666667,1075.5666666666666
2028,590.0666666666667,561.9333333333333,1152.0
2029,602.7,643.3,1246.0
2030,615.6333333333333,730.9,1346.5333333333333
2031,619.0666666666667,812.9333333333333,1432.0
2032,628.2,895.3666666666667,1523.5666666666666
2033,633.8333333333334,988.6666666666666,1622.5
2034,659.4666666666667,1079.0333333333333,1738.5
2035,656.8333333333334,1192.9666666666667,1849.8000000000002
