year,tavi_in_savr,tavi_in_tavi,total
2025,357.5,70.56666666666666,428.06666666666666
2026,375.3,103.2,478.5
2027,392.8666666666667,144.16666666666666,537.0333333333333
2028,406.03333333333336,184.3,590.3333333333334
2029,424.23333333333335,239.46666666666667,663.7
2030,446.46666666666664,301.43333333333334,747.9
2031,454.8666666666667,363.8,818.6666666666667
2032,474.1,433.2,907.3
2033,485.93333333333334,517.1333333333333,1003.0666666666666
2034,516.4666666666667,607.1333333333333,1123.6
2035,524.1333333333333,713.4,1237.5333333333333
