sex,age_band,year,count,src
Men,60-64,2015,1,observed
Men,65-69,2015,2,observed
Men,70-74,2015,4,observed
Men,75-79,2015,15,observed
Men,>=80,2015,13,observed
Women,65-69,2015,3,observed
Women,70-74,2015,5,observed
Women,75-79,2015,5,observed
Women,>=80,2015,13,observed
Men,55-59,2016,3,observed
Men,60-64,2016,3,observed
Men,65-69,2016,3,observed
Men,70-74,2016,24,observed
Men,75-79,2016,40,observed
Men,>=80,2016,52,observed
Women,60-64,2016,1,observed
Women,65-69,2016,2,observed
Women,70-74,2016,13,observed
Women,75-79,2016,47,observed
Women,>=80,2016,72,observed
Men,60-64,2017,3,observed
Men,65-69,2017,7,observed
Men,70-74,2017,22,observed
Men,75-79,2017,63,observed
Men,>=80,2017,68,observed
Women,60-64,2017,2,observed
Women,65-69,2017,7,observed
Women,70-74,2017,23,observed
Women,75-79,2017,72,observed
Women,>=80,2017,92,observed
Men,50-54,2018,2,observed
Men,55-59,2018,2,observed
Men,60-64,2018,2,observed
Men,65-69,2018,12,observed
Men,70-74,2018,31,observed
Men,75-79,2018,89,observed
Men,>=80,2018,133,observed
Women,45-49,2018,2,observed
Women,60-64,2018,2,observed
Women,65-69,2018,6,observed
Women,70-74,2018,18,observed
Women,75-79,2018,78,observed
Women,>=80,2018,165,observed
Men,55-59,2019,1,observed
Men,60-64,2019,5,observed
Men,65-69,2019,10,observed
Men,70-74,2019,45,observed
Men,75-79,2019,89,observed
Men,>=80,2019,197,observed
Women,50-54,2019,1,observed
Women,60-64,2019,2,observed
Women,65-69,2019,8,observed
Women,70-74,2019,30,observed
Women,75-79,2019,87,observed
Women,>=80,2019,249,observed
Men,55-59,2020,2,observed
Men,60-64,2020,4,observed
Men,65-69,2020,9,observed
Men,70-74,2020,25,observed
Men,75-79,2020,97,observed
Men,>=80,2020,214,observed
Women,50-54,2020,1,observed
Women,55-59,2020,1,observed
Women,60-64,2020,2,observed
Women,65-69,2020,10,observed
Women,70-74,2020,35,observed
Women,75-79,2020,102,observed
Women,>=80,2020,261,observed
Men,50-54,2021,1,observed
Men,55-59,2021,1,observed
Men,60-64,2021,10,observed
Men,65-69,2021,14,observed
Men,70-74,2021,58,observed
Men,75-79,2021,114,observed
Men,>=80,2021,269,observed
Women,55-59,2021,3,observed
Women,60-64,2021,3,observed
Women,65-69,2021,14,observed
Women,70-74,2021,56,observed
Women,75-79,2021,143,observed
Women,>=80,2021,398,observed
Men,55-59,2022,2,observed
Men,60-64,2022,3,observed
Men,65-69,2022,18,observed
Men,70-74,2022,48,observed
Men,75-79,2022,101,observed
Men,>=80,2022,297,observed
Women,60-64,2022,1,observed
Women,65-69,2022,5,observed
Women,70-74,2022,40,observed
Women,75-79,2022,117,observed
Women,>=80,2022,489,observed
Men,55-59,2023,2,observed
Men,60-64,2023,10,observed
Men,65-69,2023,21,observed
Men,70-74,2023,61,observed
Men,75-79,2023,175,observed
Men,>=80,2023,722,observed
Women,55-59,2023,1,observed
Women,60-64,2023,1,observed
Women,65-69,2023,12,observed
Women,70-74,2023,60,observed
Women,75-79,2023,187,observed
Women,>=80,2023,1031,observed
Men,50-54,2024,1,observed
Men,60-64,2024,6,observed
Men,65-69,2024,8,observed
Men,70-74,2024,48,observed
Men,75-79,2024,125,observed
Men,>=80,2024,576,observed
Women,50-54,2024,1,observed
Women,55-59,2024,2,observed
Women,60-64,2024,4,observed
Women,65-69,2024,7,observed
Women,70-74,2024,39,observed
Women,75-79,2024,142,observed
Women,>=80,2024,903,observed
U,50-54,2025,1,pop_rate
U,55-59,2025,2,pop_rate
U,60-64,2025,11,pop_rate
U,65-69,2025,24,pop_rate
U,70-74,2025,104,pop_rate
U,75-79,2025,315,pop_rate
U,>=80,2025,1616,pop_rate
U,50-54,2026,1,pop_rate
U,55-59,2026,3,pop_rate
U,60-64,2026,10,pop_rate
U,65-69,2026,25,pop_rate
U,70-74,2026,112,pop_rate
U,75-79,2026,329,pop_rate
U,>=80,2026,1702,pop_rate
U,50-54,2027,1,pop_rate
U,55-59,2027,3,pop_rate
U,60-64,2027,10,pop_rate
U,65-69,2027,25,pop_rate
U,70-74,2027,120,pop_rate
U,75-79,2027,344,pop_rate
U,>=80,2027,1788,pop_rate
U,50-54,2028,1,pop_rate
U,55-59,2028,3,pop_rate
U,60-64,2028,10,pop_rate
U,65-69,2028,25,pop_rate
U,70-74,2028,129,pop_rate
U,75-79,2028,358,pop_rate
U,>=80,2028,1875,pop_rate
U,50-54,2029,1,pop_rate
U,55-59,2029,2,pop_rate
U,60-64,2029,10,pop_rate
U,65-69,2029,26,pop_rate
U,70-74,2029,137,pop_rate
U,75-79,2029,373,pop_rate
U,>=80,2029,1961,pop_rate
U,50-54,2030,1,pop_rate
U,55-59,2030,3,pop_rate
U,60-64,2030,10,pop_rate
U,65-69,2030,26,pop_rate
U,70-74,2030,145,pop_rate
U,75-79,2030,387,pop_rate
U,>=80,2030,2048,pop_rate
U,50-54,2031,1,pop_rate
U,55-59,2031,2,pop_rate
U,60-64,2031,10,pop_rate
U,65-69,2031,26,pop_rate
U,70-74,2031,147,pop_rate
U,75-79,2031,414,pop_rate
U,>=80,2031,2182,pop_rate
U,50-54,2032,1,pop_rate
U,55-59,2032,2,pop_rate
U,60-64,2032,10,pop_rate
U,65-69,2032,26,pop_rate
U,70-74,2032,149,pop_rate
U,75-79,2032,440,pop_rate
U,>=80,2032,2316,pop_rate
U,50-54,2033,1,pop_rate
U,55-59,2033,2,pop_rate
U,60-64,2033,10,pop_rate
U,65-69,2033,27,pop_rate
U,70-74,2033,151,pop_rate
U,75-79,2033,466,pop_rate
U,>=80,2033,2449,pop_rate
U,50-54,2034,1,pop_rate
U,55-59,2034,2,pop_rate
U,60-64,2034,10,pop_rate
U,65-69,2034,27,pop_rate
U,70-74,2034,153,pop_rate
U,75-79,2034,492,pop_rate
U,>=80,2034,2582,pop_rate
U,50-54,2035,1,pop_rate
U,55-59,2035,2,pop_rate
U,60-64,2035,10,pop_rate
U,65-69,2035,27,pop_rate
U,70-74,2035,155,pop_rate
U,75-79,2035,518,pop_rate
U,>=80,2035,2716,pop_rate
