year,tavi_in_savr,tavi_in_tavi,total
2022,463.64,141.52,605.16
2023,490.94,180.99,671.9300000000001
2024,538.72,249.76,788.48
2025,545.92,321.71,867.6299999999999
2026,602.9,409.17,1012.0699999999999
2027,633.21,486.62,1119.83
2028,658.23,555.16,1213.3899999999999
2029,671.19,615.96,1287.15
2030,676.33,686.46,1362.79
2031,680.15,741.15,1421.3
2032,673.0,800.2,1473.2
2033,667.63,847.3,1514.9299999999998
2034,662.66,880.8,1543.46
2035,664.72,917.16,1581.88
2036,671.51,952.2,1623.71
2037,683.48,979.74,1663.22
2038,694.18,1010.67,1704.85
2039,720.81,1057.43,1778.24
2040,742.6,1098.44,1841.04
