year,tavi_in_savr,tavi_in_tavi,total
2022,275.33,13.92,289.25
2023,297.99,24.87,322.86
2024,334.28,44.19,378.46999999999997
2025,353.68,67.65,421.33000000000004
2026,389.35,102.48,491.83000000000004
2027,418.52,139.3,557.8199999999999
2028,451.8,180.06,631.86
2029,469.8,227.06,696.86
2030,488.43,274.34,762.77
2031,493.47,328.84,822.31
2032,498.11,381.93,880.04
2033,505.07,438.77,943.8399999999999
2034,513.1,487.71,1000.81
2035,519.54,539.87,1059.4099999999999
2036,528.78,559.5,1088.28
2037,532.52,583.14,1115.6599999999999
2038,548.27,602.75,1151.02
2039,567.12,622.14,1189.26
2040,585.06,646.71,1231.77
2041,605.46,675.22,1280.68
2042,625.12,710.98,1336.1
2043,648.91,739.96,1388.87
2044,673.19,773.84,1447.0300000000002
2045,698.53,809.04,1507.57
2046,721.67,840.63,1562.3
2047,745.02,873.92,1618.94
2048,762.22,900.96,1663.18
2049,789.18,933.64,1722.82
2050,807.27,958.54,1765.81
