year,tavi_in_savr,tavi_in_tavi,total
2022,464.27,141.78,606.05
2023,491.1,183.03,674.13
2024,539.88,248.38,788.26
2025,550.52,323.73,874.25
2026,600.52,410.2,1010.72
2027,636.48,483.26,1119.74
2028,667.76,545.08,1212.8400000000001
2029,688.08,609.68,1297.76
2030,687.41,667.22,1354.63
2031,694.48,726.63,1421.1100000000001
2032,695.14,778.59,1473.73
2033,686.79,821.68,1508.4699999999998
2034,683.42,852.68,1536.1
2035,687.99,883.04,1571.03
2036,691.56,921.19,1612.75
2037,709.14,944.1,1653.24
2038,721.53,974.45,1695.98
2039,746.33,1021.57,1767.9
2040,772.79,1057.86,1830.6499999999999
