year,pop_total,pop_50plus,avg_age_total,avg_age_50plus
2022,51781000,21789000,43.41982580483189,64.14259488732847
2023,51751000,22304000,43.93986589631118,64.32671269727403
2024,51721000,22820000,44.4618626863363,64.53286590709904
2025,51666000,23276000,44.97342546355437,64.78033167210862
2026,51601000,23673000,45.47532024573167,65.0528450133063
2027,51517000,24037000,45.962090183822816,65.33215459499938
2028,51425000,24392000,46.433349538162375,65.60712528697934
2029,51312000,24757000,46.88891487371375,65.85749484994143
2030,51188000,25156000,47.340314136125656,66.08351884242327
2031,51048000,25551000,47.78484955336154,66.29239560095495
2032,50894000,25920000,48.21929893504146,66.50308641975309
2033,50713000,26235000,48.64622483386903,66.73203735467887
2034,50518000,26471000,49.056890613246765,66.99206679007216
2035,50302000,26653000,49.473460299789274,67.28908565639891
2036,50068000,26797000,49.877985939122794,67.58551330372804
2037,49813000,26918000,50.276755063939135,67.8774797533249
2038,49542000,27025000,50.66941181219975,68.16651248843664
2039,49252000,27118000,51.04247543246975,68.43779039752194
2040,48948000,27217000,51.41499141946556,68.69838703751331
2041,48630000,27325000,51.77822331893893,68.93522415370539
2042,48299000,27445000,52.119153605664714,69.13299325924577
2043,47959000,27570000,52.44798682207719,69.31284004352557
2044,47605000,27673000,52.75685327171516,69.48075741697684
2045,47232000,27750000,53.05828675474255,69.65261261261261
2046,46853000,27807000,53.348793033530406,69.82392922645377
2047,46452000,27830000,53.624149659863946,69.99119655048509
2048,46033000,27817000,53.886798601003626,70.1602976597045
2049,45596000,27767000,54.135055706640934,70.33003205243635
2050,45143000,27698000,54.38198613295528,70.50025272582857
