year,tavi_in_savr,tavi_in_tavi,total
2022,64.36000000000001,14.25,78.61000000000001
2023,83.42000000000002,24.97,108.39000000000001
2024,112.64999999999998,43.44,156.08999999999997
2025,128.75,66.77,195.51999999999998
2026,146.26999999999998,103.19,249.45999999999998
2027,162.79000000000002,146.83,309.62
2028,170.87,200.44,371.31
2029,168.14999999999998,256.98,425.13
2030,160.25,323.89,484.14
2031,140.5,406.27,546.77
2032,119.06,479.49,598.55
2033,99.12,566.01,665.13
2034,82.67000000000002,646.55,729.22
2035,69.25999999999999,736.7,805.96
2036,54.339999999999975,780.35,834.69
2037,43.079999999999984,817.8,860.8799999999999
2038,37.25,864.52,901.77
2039,38.22000000000003,907.31,945.53
2040,35.170000000000016,952.13,987.3
