year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,10.121662086502988,1042.7136218720668
2013,1351.3684277025325,23.613775313981616,1327.7546523885508
2014,1603.339471405472,50.23604281758488,1553.1034285878873
2015,1834.3103676300411,100.65767657110558,1733.6526910589355
2016,2051.15318631202,189.6428783914095,1861.5103079206103
2017,2265.4639349000804,332.72942723700896,1932.7345076630713
2018,2480.5552816705886,534.4877070584182,1946.0675746121703
2019,2693.507296601552,776.601564531709,1916.905732069843
2020,2907.3707588558937,1025.9073440829682,1881.4634147729255
2021,3120.1732785714403,1252.6918146093997,1867.4814639620406
2022,3331.357037179585,1445.193784906501,1886.163252273084
2023,3546.7718327337743,1608.7324197816204,1938.039412952154
2024,3767.916072544659,1752.2166117823485,2015.6994607623105
2025,3993.02426562047,1882.6306205239637,2110.3936450965066
2026,4216.598193880373,2003.0562131566414,2213.541980723732
2027,4446.88864886608,2121.1199035826608,2325.7687452834193
2028,4685.61817825708,2239.962595313874,2445.6555829432064
2029,4926.673552748499,2358.0365547733204,2568.6369979751785
2030,5181.695764951222,2481.7142752743785,2699.981489676844
2031,5439.11417474355,2605.9212052041325,2833.192969539418
2032,5699.954568016814,2731.4132812225275,2968.5412867942864
2033,5964.133733569954,2858.3029550415854,3105.8307785283682
2034,6229.397441491714,2985.5970741967967,3243.800367294917
2035,6515.864868170724,3122.9882889793744,3392.8765791913493
2036,6805.602451904158,3261.9099405395837,3543.692511364575
2037,7087.269985181038,3396.9426117601306,3690.327373420907
2038,7368.558524992695,3531.7816738631645,3836.7768511295308
2039,7647.279259287029,3665.3832071233965,3981.8960521636327
2040,7934.720692738525,3803.160801898595,4131.55989083993
