year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,36.303260041942664,1016.5320239166272
2013,1351.3684277025325,63.69798737180277,1287.6704403307297
2014,1603.339471405472,102.64421092216371,1500.6952604833084
2015,1834.3103676300411,158.13147071054465,1676.1788969194965
2016,2051.15318631202,235.47151984078658,1815.6816664712333
2017,2265.4639349000804,341.4536889368708,1924.0102459632096
2018,2480.5552816705886,482.3253265987465,1998.2299550718421
2019,2693.507296601552,661.653605255694,2031.853691345858
2020,2907.3707588558937,880.8845452049974,2026.4862136508964
2021,3120.1732785714403,1135.8735913179264,1984.2996872535139
2022,3331.357037179585,1418.1172593666752,1913.2397778129098
2023,3546.7718327337743,1718.9913378696367,1827.7804948641376
2024,3767.916072544659,2028.0799750356937,1739.8360975089654
2025,3993.02426562047,2334.740294526521,1658.2839710939488
2026,4216.598193880373,2628.483748890633,1588.1144449897406
2027,4446.88864886608,2910.3201572837497,1536.5684915823304
2028,4685.61817825708,3180.5721476390245,1505.0460306180557
2029,4926.673552748499,3435.9982148566764,1490.6753378918224
2030,5181.695764951222,3686.577575026608,1495.1181899246144
2031,5439.11417474355,3926.4976763638233,1512.616498379727
2032,5699.954568016814,4158.644071750604,1541.31049626621
2033,5964.133733569954,4384.963109959908,1579.1706236100454
2034,6229.397441491714,4605.527455479074,1623.8699860126399
2035,6515.864868170724,4836.6979699252415,1679.1668982454821
2036,6805.602451904158,5066.414608539193,1739.1878433649654
2037,7087.269985181038,5287.115946208055,1800.1540389729826
2038,7368.558524992695,5505.216440357027,1863.3420846356685
2039,7647.279259287029,5719.630084575532,1927.649174711497
2040,7934.720692738525,5939.228907681134,1995.491785057391
2041,8222.545978149206,6158.10892656221,2064.437051586996
2042,8489.493859534548,6360.588430638653,2128.905428895895
2043,8745.32631544942,6554.158059523001,2191.168255926419
2044,8986.533405442835,6736.327843206758,2250.2055622360767
2045,9214.484697094864,6908.2310468261485,2306.2536502687153
2046,9433.147612518515,7072.9239295973275,2360.223682921187
2047,9634.431146101273,7224.401794184135,2410.0293519171382
2048,9829.833729644211,7371.332992588662,2458.5007370555495
2049,10017.438572902236,7512.315610522695,2505.1229623795407
2050,10189.209826643582,7641.349431795199,2547.8603948483833
