year,tavi_in_savr,tavi_in_tavi,total
2022,68.63999999999999,13.43,82.07
2023,85.75999999999999,25.33,111.08999999999999
2024,119.35000000000002,43.84,163.19000000000003
2025,129.54000000000002,69.33,198.87
2026,162.5,103.88,266.38
2027,190.94,138.94,329.88
2028,217.47000000000003,178.29,395.76
2029,238.91000000000003,224.12,463.03000000000003
2030,242.31,267.98,510.29
2031,253.52999999999997,319.82,573.3499999999999
2032,260.38,374.29,634.6700000000001
2033,257.94000000000005,425.58,683.52
2034,264.71000000000004,473.97,738.6800000000001
2035,276.9,523.98,800.88
2036,278.49,547.02,825.51
2037,289.97,562.87,852.84
2038,299.44000000000005,581.73,881.1700000000001
2039,315.90999999999997,605.54,921.4499999999999
2040,336.63,630.51,967.14
