year,tavi_in_savr,tavi_in_tavi,total
2022,16.82,2.3255813953488373,19.145581395348838
2023,20.35,3.4842105263157896,23.83421052631579
2024,25.05,5.36734693877551,30.41734693877551
2025,28.52,6.61,35.13
2026,77.28,20.42,97.7
2027,98.43,48.29,146.72
2028,122.85,97.21,220.06
2029,139.84,150.18,290.02
2030,151.09,204.0,355.09000000000003
2031,156.65,261.54,418.19000000000005
2032,159.87,326.66,486.53000000000003
2033,155.87,398.12,553.99
2034,151.4,469.87,621.27
2035,147.48,554.18,701.66
2036,133.27,600.56,733.8299999999999
2037,126.22,652.87,779.09
2038,117.19,701.09,818.28
2039,108.1,750.07,858.1700000000001
2040,102.95,791.64,894.59
2041,98.77,838.35,937.12
2042,92.71,890.05,982.76
2043,90.38,931.21,1021.59
2044,86.09,975.71,1061.8
2045,85.73,1030.41,1116.14
2046,85.97,1072.78,1158.75
2047,87.06,1116.17,1203.23
2048,85.19,1164.46,1249.65
2049,86.59,1205.11,1291.6999999999998
2050,87.84,1241.74,1329.58
