year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,45.915408110619516,1006.9198758479503
2013,1351.3684277025325,76.52866571651425,1274.8397619860182
2014,1603.339471405472,117.39986887670443,1485.9396025287676
2015,1834.3103676300411,172.72176801075335,1661.5885996192878
2016,2051.15318631202,246.6860932689762,1804.4670930430436
2017,2265.4639349000804,345.07546641455383,1920.3884684855266
2018,2480.5552816705886,473.65459656283366,2006.900685107755
2019,2693.507296601552,636.911187888352,2056.5961087132
2020,2907.3707588558937,839.3374996034623,2068.0332592524314
2021,3120.1732785714403,1082.2151056400016,2037.9581729314386
2022,3331.357037179585,1364.0074102530477,1967.3496269265372
2023,3546.7718327337743,1682.7304393716872,1864.041393362087
2024,3767.916072544659,2032.5459113185543,1735.3701612261048
2025,3993.02426562047,2403.9421740882553,1589.0820915322147
2026,4216.598193880373,2783.743464103204,1432.8547297771693
2027,4446.88864886608,3168.045087950865,1278.8435609152152
2028,4685.61817825708,3551.3846583072855,1134.2335199497948
2029,4926.673552748499,3924.3911161990354,1002.2824365494635
2030,5181.695764951222,4293.620371251505,888.0753936997171
2031,5439.11417474355,4648.91049792546,790.2036768180906
2032,5699.954568016814,4991.210333237096,708.7442347797178
2033,5964.133733569954,5321.495396651155,642.6383369187988
2034,6229.397441491714,5639.279197378319,590.1182441133951
2035,6515.864868170724,5964.670066515833,551.1948016548904
2036,6805.602451904158,6283.310023424909,522.2924284792498
2037,7087.269985181038,6586.221028189249,501.04895699178815
2038,7368.558524992695,6881.83787465464,486.72065033805575
2039,7647.279259287029,7169.3379127345515,477.9413465524776
2040,7934.720692738525,7460.372086999476,474.34860573904916
2041,8222.545978149206,7748.033497301426,474.51248084778035
2042,8489.493859534548,8012.983866221431,476.5099933131178
2043,8745.32631544942,8264.971022593647,480.35529285577286
2044,8986.533405442835,8501.148531759138,485.38487368369715
2045,9214.484697094864,8723.195355547652,491.28934154721173
2046,9433.147612518515,8935.185304394528,497.9623081239861
2047,9634.431146101273,9129.712033437077,504.71911266419556
2048,9829.833729644211,9317.87626355822,511.95746608599075
2049,10017.438572902236,9498.030730429819,519.4078424724175
2050,10189.209826643582,9662.687842172882,526.5219844707008
