year,TAM,pred_TAVI,pred_SAVR
2016,255.3696762065182,54.23700709317979,201.1326691133384
2017,270.8227128694105,63.24808532356339,207.57462754584714
2018,287.3193119277658,73.24753620421382,214.07177572355198
2019,303.92416446744573,83.96084900702898,219.96331546041677
2020,320.9777095466867,95.39400586480474,225.58370368188196
2021,335.2140954394026,106.42224871001602,228.7918467293866
2022,350.82551545319956,118.17147723022354,232.654038222976
2023,371.7143447619732,131.9900796938171,239.72426506815611
2024,389.3740587037564,144.87269306711943,244.501365636637
2025,406.6907215242192,157.66833104292542,249.0223904812938
2026,425.90842903095006,171.17352924105978,254.73489978989028
2027,450.5025382513394,186.8300417628945,263.6724964884449
2028,474.32379579159374,202.13844134349384,272.18535444809993
2029,497.28189586400816,216.96781791207138,280.3140779519368
2030,523.3375736950584,233.01011814849966,290.3274555465587
2031,549.1418674007883,248.7899419375985,300.3519254631898
2032,572.8596341648976,263.43033019648175,309.4293039684158
2033,597.4323191243379,278.24838641476424,319.1839327095737
2034,622.9337023002934,293.2899166604973,329.6437856397961
2035,649.0981237033916,308.443189077697,340.6549346256946
2036,676.4424803000802,323.9685293415308,352.4739509585494
2037,700.0149399612555,337.497652460799,362.5172875004566
2038,725.1217340357061,351.58114453040963,373.5405895052965
2039,751.7434813641779,366.2354101117528,385.5080712524251
2040,775.9869182512683,379.5787554974089,396.4081627538594
2041,801.3609126716324,393.3338989810485,408.0270136905839
2042,824.1518076164946,405.6917369688305,418.46007064766405
2043,846.2117315631073,417.5695298281488,428.64220173495846
2044,869.3950384245179,429.8953008638762,439.49973756064173
2045,889.348433755722,440.52812979386135,448.82030396186065
2046,910.730612163238,451.7828564681394,458.9477556950986
2047,932.5624580808219,463.1867181821939,469.375739898628
2048,953.1249281063035,473.8949692548048,479.22995885149874
2049,975.1502957042358,485.27373866847256,489.8765570357632
2050,994.0784489274511,495.06110993361534,499.0173389938357
