year,tavi_in_savr,tavi_in_tavi,total
2022,30.23,21.89,52.120000000000005
2023,35.09,25.95,61.040000000000006
2024,41.04,28.06,69.1
2025,45.75,32.16,77.91
2026,57.83,36.25,94.08
2027,65.99,39.84,105.83
2028,74.82,44.63,119.44999999999999
2029,82.22,46.4,128.62
2030,85.08,47.79,132.87
2031,92.6,51.8,144.39999999999998
2032,92.8,54.61,147.41
2033,94.93,58.85,153.78
2034,97.64,60.37,158.01
2035,96.36,63.56,159.92000000000002
2036,96.43,66.29,162.72000000000003
2037,96.11,72.58,168.69
2038,95.92,77.54,173.46
2039,95.47,83.88,179.35
2040,96.02,89.07,185.08999999999997
