year,tavi_in_savr,tavi_in_tavi,total
2022,17.72,2.411764705882353,20.13176470588235
2023,21.12,3.7010309278350517,24.821030927835054
2024,25.35,5.23,30.580000000000002
2025,28.47,6.76,35.23
2026,37.65,9.24,46.89
2027,44.39,11.46,55.85
2028,51.46,14.91,66.37
2029,57.61,17.22,74.83
2030,61.11,19.24,80.35
2031,68.53,23.99,92.52
2032,69.89,26.62,96.51
2033,71.57,31.43,103.0
2034,75.49,34.09,109.58
2035,75.66,38.23,113.88999999999999
2036,75.8,39.72,115.52
2037,74.96,44.52,119.47999999999999
2038,75.24,47.5,122.74
2039,75.12,51.22,126.34
2040,76.03,54.07,130.1
