year,tavi_in_savr,tavi_in_tavi,total
2022,18.8,2.253012048192771,21.053012048192773
2023,20.76,3.5306122448979593,24.29061224489796
2024,25.66,4.83,30.490000000000002
2025,29.47,6.66,36.129999999999995
2026,36.1,8.94,45.04
2027,43.55,11.77,55.31999999999999
2028,49.74,14.95,64.69
2029,52.47,17.05,69.52
2030,56.78,20.65,77.43
2031,59.61,23.39,83.0
2032,61.67,27.59,89.26
2033,62.22,30.02,92.24
2034,62.75,34.91,97.66
2035,61.83,39.19,101.02
2036,60.91,40.67,101.58
2037,59.27,41.71,100.98
2038,56.12,46.4,102.52
2039,54.19,49.63,103.82
2040,50.57,52.79,103.36
2041,51.61,56.24,107.85
2042,49.25,57.59,106.84
2043,48.6,63.36,111.96000000000001
2044,49.53,67.9,117.43
2045,49.25,72.21,121.46
2046,48.37,75.51,123.88
2047,49.81,79.5,129.31
2048,50.05,82.8,132.85
2049,49.53,86.67,136.2
2050,50.96,89.99,140.95
