year,tavi_in_savr,tavi_in_tavi,total
2022,30.01,21.37,51.38
2023,34.12,25.18,59.3
2024,39.93,28.41,68.34
2025,45.56,31.26,76.82000000000001
2026,57.12,35.61,92.72999999999999
2027,66.33,39.28,105.61
2028,75.08,43.78,118.86
2029,82.34,47.17,129.51
2030,88.4,49.1,137.5
2031,93.29,50.86,144.15
2032,94.73,54.78,149.51
2033,97.99,55.73,153.72
2034,100.14,58.4,158.54
2035,98.39,60.11,158.5
2036,102.48,63.87,166.35
2037,100.49,67.86,168.35
2038,103.29,71.74,175.03
2039,104.11,76.48,180.59
2040,107.67,80.1,187.76999999999998
