year,tavi_in_savr,tavi_in_tavi,total
2022,16.88,2.0804597701149423,18.96045977011494
2023,20.38,3.2755102040816326,23.655510204081633
2024,24.0,4.8979591836734695,28.89795918367347
2025,28.32,6.64,34.96
2026,37.02,9.25,46.27
2027,43.7,12.05,55.75
2028,50.61,14.74,65.35
2029,57.16,18.07,75.22999999999999
2030,62.92,19.23,82.15
2031,68.72,23.36,92.08
2032,70.04,26.42,96.46000000000001
2033,73.57,29.16,102.72999999999999
2034,76.44,32.99,109.43
2035,77.04,36.38,113.42000000000002
2036,79.8,38.86,118.66
2037,78.36,40.11,118.47
2038,81.21,42.75,123.96
2039,80.75,45.91,126.66
2040,84.55,47.91,132.45999999999998
