year,tavi_in_savr,tavi_in_tavi,total
2022,17.88,2.0804597701149423,19.96045977011494
2023,21.38,3.2755102040816326,24.655510204081633
2024,25.0,4.8979591836734695,29.89795918367347
2025,29.32,6.64,35.96
2026,38.02,9.25,47.27
2027,44.7,12.05,56.75
2028,51.61,14.74,66.35
2029,58.16,18.07,76.22999999999999
2030,63.92,19.23,83.15
2031,69.72,23.36,93.08
2032,71.04,26.42,97.46000000000001
2033,75.57,29.16,104.72999999999999
2034,78.44,32.99,111.43
2035,79.04,36.38,115.42000000000002
2036,81.8,38.86,120.66
2037,80.36,40.11,120.47
2038,83.21,42.75,125.96
2039,82.75,45.91,128.66
2040,86.55,47.91,134.45999999999998
