year,TAM,pred_TAVI,pred_SAVR
2012,30.853536433013904,6.595180823724317,24.258355609289588
2013,49.46416116083937,11.155059635668163,38.3091015251712
2014,63.77446457207343,15.13934177447603,48.6351227975974
2015,179.64086252612915,44.78748696437001,134.85337556175915
2016,205.9132343561402,53.79441285038473,152.11882150575548
2017,231.98745753733763,63.362268393194995,168.62518914414264
2018,258.00023659449937,73.50519423337865,184.49504236112074
2019,283.77386756452023,84.14557161582083,199.62829594869942
2020,309.9184187440394,95.43581622660932,214.48260251743008
2021,333.30475612335067,106.35887199016513,226.94588413318553
2022,357.6088658685224,118.0033161551161,239.6055497134063
2023,387.07381630635894,131.80886663636252,255.2649496699964
2024,412.9127848779174,144.8150489426436,268.09773593527376
2025,438.2224864926062,157.98834101468418,280.234145477922
2026,465.74259696735686,172.28783785434652,293.45475911301037
2027,500.44284591376646,189.61774707568577,310.8250988380807
2028,534.616001816958,207.13582342842165,327.4801783885364
2029,568.2024753613384,224.7574635440515,343.44501181728697
2030,606.0275547344509,244.36918093396173,361.65837380048913
2031,643.8816440242936,264.29247109243624,379.5891729318573
2032,679.8543247473774,283.685325532122,396.1689992152554
2033,717.6381562557335,304.0336770916317,413.6044791641018
2034,757.3865960871117,325.39908976331316,431.9875063237985
2035,799.0231232883773,347.7454374654137,451.2776858229636
2036,841.984170381462,370.81941633414357,471.16475404731847
2037,880.1111421535974,391.8650328048464,488.24610934875096
2038,920.3988342829247,413.93204413631304,506.46679014661163
2039,963.3996838825033,437.27545698678676,526.1242268957164
2040,1003.9383604339771,459.53592778368846,544.4024326502886
