year,weighted_pop,pred_tavi,pred_savr,baseline_savr_vol,cannibalization_pct,pred_centers,obs_tavi,obs_savr
2012,2089.852670452097,47.614086520815455,1578.937577345603,1578.937577345603,0.0,3.816141166217896,,1531.0
2013,2196.8803651596,68.41805540850903,1652.3216367099035,1653.976230624057,0.0010003734536919151,5.031006237100195,,1541.0
2014,2307.554910093159,98.14381107499399,1727.0923842332272,1731.183417161106,0.0023631423957304544,6.6042688196654735,,1690.0
2015,2421.0471754854534,140.4491508758775,1802.280485019672,1809.910300248201,0.004215576444580111,8.621781226604766,61.0,1840.0
2016,2533.3496734983537,200.11558925676897,1874.455806159338,1887.1492041845447,0.00672622916993568,11.176706296086962,260.0,2179.0
2017,2652.2943118743688,284.631610703538,1948.8084548422999,1968.7229939734636,0.010115460220724308,14.361241101177924,359.0,1949.0
2018,2775.1763784330087,403.35645961865066,2022.474844408468,2052.5783867074883,0.014666208362112153,18.252924207492917,542.0,2169.0
2019,2897.4516434122934,568.0161925789453,2091.0639277764844,2135.3351088956706,0.020732662023284092,22.895627156849226,724.0,2118.0
2020,3021.244642737879,794.5121120899211,2154.791318155078,2218.5580737083283,0.028742432442466617,28.27778901487138,763.0,2195.0
2021,3144.3063737538764,1101.2661022201753,2210.440823018371,2300.5896872061057,0.03918511183852773,34.31373020458714,1084.0,2321.0
2022,3265.154095131483,1509.013110812671,2255.201890883096,2380.354820233063,0.052577425972869664,40.83630103479933,1121.0,2023.0
2023,3388.666866531459,2042.324996094846,2290.6061381023273,2461.4150664908593,0.06939460585656022,47.608109486473005,2283.0,2620.0
2024,3388.666866531459,2624.776044453493,2231.804644907369,2452.4323278859642,0.08996280161123937,54.352640804336986,1862.0,2158.0
2025,3388.666866531459,3314.5928060122696,2164.1085152334463,2443.449589281066,0.11432242157686992,60.797765346966614,,
2026,3388.666866531459,4101.118216966828,2088.5360956922523,2434.4668506761714,0.1420971309951651,66.71781480563352,,
2027,3388.666866531459,4959.999619360809,2007.2652596234325,2425.4841120712763,0.172426960195876,71.96116365579341,,
2028,3388.666866531459,5854.765454936522,1923.4771391422717,2416.501373466381,0.2040239826625402,76.45751209648289,,
2029,3388.666866531459,6742.345981925332,1840.8675485385206,2407.518634861486,0.23536726907020059,80.20767892301747,,
2030,3388.666866531459,7581.023687358899,1762.963119991634,2398.535896256591,0.2649836415860604,83.26371931188659,,
2031,3388.666866531459,8337.87089105332,1692.49584309663,2389.553157651696,0.2917103192799821,85.70734128343376,,
2032,3388.666866531459,8993.043987621038,1631.0560083350513,2380.5704190467977,0.3148465614438152,87.63181905472734,,
2033,3388.666866531459,9540.087976596307,1579.087455130224,2371.5876804419026,0.3341644215169859,89.12939442625223,,
2034,3388.666866531459,9983.243511668126,1536.1334825736055,2362.6049418370076,0.34981365044500073,90.28393769126556,,
2035,3388.666866531459,10333.52841242506,1501.1794939481229,2353.6222032321125,0.3621833224182592,91.16763350058055,,
2036,3388.666866531459,10605.067382100166,1472.9676327439174,2344.6394646272174,0.37177222555276335,91.84029790143529,,
2037,3388.666866531459,10812.403398042026,1450.2234653633004,2335.6567260223223,0.3790939185515225,92.3501783492245,,
2038,3388.666866531459,10968.895782510997,1431.7882626228845,2326.6739874174245,0.3846201614983673,92.73543811855887,,
2039,3388.666866531459,11085.98427287518,1416.6773546249024,2317.6912488125295,0.38875492784004867,93.02583527363622,,
2040,3388.666866531459,11173.018645042144,1404.0909766404488,2308.7085102076344,0.3918283878486801,93.24433048423984,,
2041,3388.666866531459,11237.39869557043,1393.3995863025145,2299.7257716027393,0.39410185183452656,93.40850192436973,,
2042,3388.666866531459,11284.849715351425,1384.1184868454561,2290.7430329978442,0.3957774979963199,93.53172924174625,,
2043,3388.666866531459,11319.730385846253,1375.880362154609,2281.760294392949,0.39700924521492964,93.62415251471847,,
2044,3388.666866531459,11345.320651863654,1368.4100048832927,2272.777555788054,0.397912918755124,93.69343195734481,,
2045,3388.666866531459,11364.068072554823,1361.502911790218,2263.7948171831563,0.39857494970134333,93.74534052363587,,
2046,3388.666866531459,11377.78799221271,1355.0080250238077,2254.812078578261,0.39905944362414963,93.78422108437859,,
2047,3388.666866531459,11387.820912257755,1348.814248643504,2245.829339973366,0.3994137378846871,93.8133363172086,,
2048,3388.666866531459,11395.153523760177,1342.8401351198295,2236.846601368471,0.39967267567731335,93.83513492873657,,
2049,3388.666866531459,11400.510396422254,1337.0261107328365,2227.863862763576,0.39986184385866863,93.85145334887706,,
2050,3388.666866531459,11404.422707949985,1331.3286744952086,2218.881124158681,0.4,93.8636680545565,,
