year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,20.076114694373125,1032.7591692641968
2013,1351.3684277025325,41.552432981047374,1309.8159947214851
2014,1603.339471405472,78.33194514842262,1525.0075262570494
2015,1834.3103676300411,139.22553547904792,1695.0848321509932
2016,2051.15318631202,234.09835801539296,1817.054828296627
2017,2265.4639349000804,371.9016000239308,1893.5623348761496
2018,2480.5552816705886,554.2196028384574,1926.3356788321312
2019,2693.507296601552,770.0011150045132,1923.5061815970387
2020,2907.3707588558937,1000.314297458433,1907.0564613974607
2021,3120.1732785714403,1224.3236877612103,1895.84959081023
2022,3331.357037179585,1428.6121048435905,1902.7449323359945
2023,3546.7718327337743,1611.5690437964413,1935.202788937333
2024,3767.916072544659,1776.0510615361754,1991.8650110084836
2025,3993.02426562047,1925.7166359604364,2067.307629660034
2026,4216.598193880373,2062.4205492617416,2154.177644618632
2027,4446.88864886608,2193.9137988541556,2252.9748500119244
2028,4685.61817825708,2323.8819548614897,2361.7362233955905
2029,4926.673552748499,2451.2564482417497,2475.417104506749
2030,5181.695764951222,2583.144917279169,2598.5508476720534
2031,5439.11417474355,2714.65880745296,2724.4553672905904
2032,5699.954568016814,2846.8690406169812,2853.0855273998327
2033,5964.133733569954,2980.0980864149587,2984.035647154995
2034,6229.397441491714,3113.454124847413,3115.943316644301
2035,6515.864868170724,3257.1445866700797,3258.720281500644
2036,6805.602451904158,3402.303262715414,3403.2991891887445
2037,7087.269985181038,3543.3211918503407,3543.948793330697
2038,7368.558524992695,3684.081842157031,3684.476682835664
2039,7647.279259287029,3823.515651628311,3823.7636076587182
2040,7934.720692738525,3967.2825079304207,3967.4381848081043
2041,8222.545978149206,4111.224181038736,4111.3217971104705
2042,8489.493859534548,4244.716437617966,4244.777421916582
2043,8745.32631544942,4372.644151201835,4372.682164247585
2044,8986.533405442835,4493.254884863216,4493.278520579619
2045,9214.484697094864,4607.235016297362,4607.249680797502
2046,9433.147612518515,4716.569264309757,4716.578348208757
2047,9634.431146101273,4817.21276612378,4817.218379977493
2048,9829.833729644211,4914.915131934192,4914.91859771002
2049,10017.438572902236,5008.718217887873,5008.720355014363
2050,10189.209826643582,5094.604255659004,5094.605570984579
