year,TAM,pred_TAVI,pred_SAVR
2012,1052.8352839585698,63.62424516591512,989.2110387926547
2013,1351.3684277025325,90.62967935618147,1260.738748346351
2014,1603.339471405472,128.441368318618,1474.898103086854
2015,1834.3103676300411,180.69001854444699,1653.6203490855942
2016,2051.15318631202,251.9711442995728,1799.182042012447
2017,2265.4639349000804,348.9199437112188,1916.5439911888616
2018,2480.5552816705886,475.8701320139605,2004.685149656628
2019,2693.507296601552,638.044247694504,2055.463048907048
2020,2907.3707588558937,836.6523365048113,2070.718422351082
2021,3120.1732785714403,1073.5058614568866,2046.6674171145537
2022,3331.357037179585,1353.6200316215084,1977.7370055580766
2023,3546.7718327337743,1667.8654467391218,1878.9063859946525
2024,3767.916072544659,1999.2829264403729,1768.6331461042862
2025,3993.02426562047,2332.0146239309943,1661.0096416894758
2026,4216.598193880373,2655.4036589706498,1561.1945349097236
2027,4446.88864886608,2991.6577550606025,1455.2308938054775
2028,4685.61817825708,3333.7109423978786,1351.9072358592016
2029,4926.673552748499,3654.623198560016,1272.0503541884827
2030,5181.695764951222,3964.9652181119504,1216.730546839272
2031,5439.11417474355,4247.991538910887,1191.122635832663
2032,5699.954568016814,4538.1908967831205,1161.7636712336935
2033,5964.133733569954,4831.820130313985,1132.3136032559687
2034,6229.397441491714,5119.0473326226875,1110.3501088690264
2035,6515.864868170724,5453.3460997717475,1062.5187683989761
2036,6805.602451904158,5792.544491846259,1013.0579600578994
2037,7087.269985181038,6119.709276066919,967.5607091141183
2038,7368.558524992695,6448.182350037,920.3761749556952
2039,7647.279259287029,6774.794973227638,872.4842860593908
2040,7934.720692738525,7127.702018475161,807.0186742633641
2041,8222.545978149206,7486.229548244512,736.3164299046939
2042,8489.493859534548,7798.449056375585,691.0448031589631
2043,8745.32631544942,8076.969433307397,668.3568821420231
2044,8986.533405442835,8322.440491144656,664.0929142981786
2045,9214.484697094864,8550.636538529438,663.8481585654263
2046,9433.147612518515,8770.046914130025,663.100698388489
2047,9634.431146101273,8968.773681915642,665.6574641856314
2048,9829.833729644211,9177.564516346869,652.2692132973425
2049,10017.438572902236,9388.873212686653,628.5653602155835
2050,10189.209826643582,9578.307192124792,610.9026345187904
