year,TAM,pred_TAVI,pred_SAVR
2012,30.853536433013904,27.359782093220424,3.4937543397934796
2013,49.46416116083937,29.25802923392417,20.206131926915198
2014,63.77446457207343,30.780775993802557,32.99368857827087
2015,179.64086252612915,76.43302986071691,103.20783266541224
2016,205.9132343561402,80.40977391584752,125.50346044029268
2017,231.98745753733763,85.05702470201645,146.9304328353212
2018,258.00023659449937,89.56804745860799,168.43218913589138
2019,283.77386756452023,93.85461955702466,189.91924800749558
2020,309.9184187440394,98.26566667668929,211.6527520673501
2021,333.30475612335067,102.62108466285183,230.68367146049883
2022,357.6088658685224,108.90475840555114,248.70410746297125
2023,387.07381630635894,116.97086254822351,270.1029537581354
2024,412.9127848779174,124.26186367934949,288.65092119856786
2025,438.2224864926062,131.4808669927859,306.74161949982033
2026,465.74259696735686,138.95410174247087,326.788495224886
2027,500.44284591376646,147.02594204916952,353.416903864597
2028,534.616001816958,154.95454948919405,379.661452327764
2029,568.2024753613384,162.7295330739217,405.47294228741674
2030,606.0275547344509,171.49423483874386,434.533319895707
2031,643.8816440242936,180.3807003013645,463.50094372292904
2032,679.8543247473774,188.5681303863986,491.2861943609788
2033,717.6381562557335,197.06588828903358,520.5722679666999
2034,757.3865960871117,205.71749530621557,551.6691007808961
2035,799.0231232883773,214.34437263275657,584.6787506556207
2036,841.984170381462,223.600975072158,618.383195309304
2037,880.1111421535974,231.48842565037495,648.6227165032224
2038,920.3988342829247,239.64870564773395,680.7501286351908
2039,963.3996838825033,248.24427331694343,715.1554105655598
2040,1003.9383604339771,256.18526415161057,747.7530962823665
2041,1046.987773192045,264.3737332521381,782.614039939907
2042,1087.0349955440158,271.89821211351807,815.1367834304978
2043,1127.2523893922819,279.0894756423302,848.1629137499517
2044,1169.5987337010415,286.54447793153884,883.0542557695027
2045,1206.3285709281802,293.21264599623663,913.1159249319435
2046,1244.1508726522602,300.76100892438916,943.389863727871
2047,1281.6634157433373,308.93350226923087,972.7299134741064
2048,1316.7306956339023,317.072782870842,999.6579127630603
2049,1354.5585627568307,325.8052907585305,1028.7532719983003
2050,1388.6377207604414,333.2431909638977,1055.3945297965438
