year,TAM,pred_TAVI,pred_SAVR
2012,30.853536433013904,6.595180823124419,24.258355609889485
2013,49.46416116083937,11.155059634813083,38.30910152602628
2014,63.77446457207343,15.139341773518817,48.63512279855461
2015,179.64086252612915,44.7874869620992,134.85337556402996
2016,205.9132343561402,53.7944128482816,152.1188215078586
2017,231.98745753733763,63.3622683913946,168.62518914594304
2018,258.00023659449937,73.50519423200724,184.49504236249214
2019,283.77386756452023,84.14557161499502,199.6282959495252
2020,309.9184187440394,95.43581622643104,214.48260251760837
2021,333.30475612335067,106.35887199071885,226.94588413263182
2022,357.6088658685224,118.00331615646604,239.60554971205636
2023,387.07381630635894,131.80886663858627,255.26494966777267
2024,412.9127848779174,144.8150489457631,268.09773593215425
2025,438.2224864926062,157.98834101871242,280.2341454738938
2026,465.74259696735686,172.2878378593063,293.45475910805055
2027,500.44284591376646,189.61774708165183,310.82509883211463
2028,534.616001816958,207.13582343537658,327.4801783815815
2029,568.2024753613384,224.75746355195812,343.4450118093803
2030,606.0275547344509,244.36918094283735,361.6583737916135
2031,643.8816440242936,264.29247110222883,379.58917292206473
2032,679.8543247473774,283.68532554273776,396.16899920463965
2033,717.6381562557335,304.0336771030245,413.604479152709
2034,757.3865960871117,325.39908977543377,431.9875063116779
2035,799.0231232883773,347.74543747820724,451.27768581017006
2036,841.984170381462,370.81941634754224,471.1647540339198
2037,880.1111421535974,391.8650328186832,488.2461093349142
2038,920.3988342829247,413.93204415053265,506.466790132392
2039,963.3996838825033,437.27545700134266,526.1242268811607
2040,1003.9383604339771,459.53592779845764,544.4024326355195
2041,1046.987773192045,482.95997484080476,564.0277983512403
2042,1087.0349955440158,504.994955087978,582.0400404560378
2043,1127.2523893922819,527.0813529441959,600.1710364480859
2044,1169.5987337010415,550.1308726108119,619.4678610902296
2045,1206.3285709281802,570.4877636009558,635.8408073272244
2046,1244.1508726522602,591.292342065113,652.8585305871472
2047,1281.6634157433373,611.8785604214836,669.7848553218537
2048,1316.7306956339023,631.2178177161543,685.512877917748
2049,1354.5585627568307,651.8000687032747,702.758494053556
2050,1388.6377207604414,670.4962958000287,718.1414249604127
